idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_Fortaleza_agrupado,sofreu_algum_acidente_no_último_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
42 anos,Masculino,"Perimetral. Até o terminal. Porque só tem do terminal pra lá. Quando a gente vai, a gente tem que ir pelo lado de cá e por dentro do mato. A ciclovia na Perimetral era uma boa.",Praticidade e conveniência;Preferência pessoal,,Outros obstáculos na ciclovia,Não,Não,Não
A idade da pessoa não está mencionada no texto.,Masculino,"Tem alguma rua aqui de Fortaleza que não tem ciclovia ou ciclofaixa que o senhor gostaria que tivesse? Ou alguma que tá muito ruim que o senhor gostaria que melhorasse? Pra mim tá bom, só o percurso tá ótimo. Eu saio daqui pra Praia Iracema, eu vejo que tem ciclofaixa. E até eu procuro as ruas secundárias às vezes, porque não tem muito movimento, né? Não tem ciclofaixa, mas não tem movimento. Aí não tá certo.",Exercício e saúde;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",,Não
23 anos,Masculino,Tem alguma rua em Fortaleza que tu gostaria que tivesse ciclopacha. Ou alguma. Existente que tu gostaria que melhorasse? Pela aula da voz de maior.,Rapidez \ Tempo; Praticidade e conveniência,,Invasão de carros ou motos na ciclovia,,,Não
54 anos,Masculino,"E tem alguma rua em Fortaleza que você gostaria de ver uma ciclovia ciclofágica? Em todas, né? Em todas. Mas tem alguma, assim, que você pense assim, Tem um ali que era pra ter e não tem. Aqui, ó, que vem da Parangaba aqui, né? Essa aqui, do lago aqui, onde passamos no lago. Chegando no lago? É, ali não tem não. Tem em Nazé Baixo, do lado de lá. Sim. Só a ciclovia. Tá.",Exercício e saúde;Custo \ É mais barato;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
51 anos,Masculino,"E existe alguma rua que você gostaria de ver uma ciclovia nova? Ciclovia nova... Você anda assim geralmente pra lá? Eu queria que a gente veste esse clube. Não, pelo menos aonde eu ando tem.",Custo \ É mais barato;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
24 anos,Masculino,Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia ou uma ciclofaxe que ainda não tem? Eu acho que Augusto dos Anjos. Facilitaria bastante a vida de muita gente.,Praticidade e conveniência; Mais fácil,,Buracos na ciclovia; Má qualidade das ciclovias,,,Não
33 anos de idade,Masculino,"E tem alguma rua de Fortaleza que você queria ver uma ciclofaixa ou ciclovia? Se fosse possível, quando ela morre aqui, que pega aqui em frente, o terminal, ali já não tem. Eu tenho que passar por lá. Sim, eu tenho que passar. Então é risco. É carro lá, carro vindo, moto. Então ali eu tenho que ter muito cuidado, porque senão, ó, já era. Ali eu gostaria muito.",Custo \ É mais barato;Rapidez \ Tempo;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias; Sinalização inadequada,"Sim, tenho medo de acidentes",,Não
56 anos,Masculino,"""Tem algum lugar em Favelas que ainda não tenha ciclofaxe que o senhor acha que deveria ter? Eu não tenho conhecimento, vamos dizer, direto no local, mas também em relação As ciclofaixas, elas são colocadas em locais e eles não fazem um retapeamento no asfalto que dê a condição de a gente realmente andar nela.""",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,
Não há menção à idade da pessoa no texto.,,Tem alguma sugestão de alguma rua em Fortaleza que não tenha ciclofaixa ou ciclovia que você acha. Que mereça? Só pela parte da Parangaba ali perto do cemitério.,Rapidez \ Tempo;Preferência pessoal,,Buracos na ciclovia,Não,,Não
41 anos,Masculino,E existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Primetal. Só isso.,Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,,Não,Não
63,Masculino,Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia nova? João Pessoa. Pronto. Todo dia eu passo lá.,Segurança no trânsito,,,"Sim, tenho medo de acidentes",,Não
59,Masculino,"E tem alguma via em Fortaleza que. Não tenha ciclovia ou ciclofaixa, que você acha que mereça, que está faltando ainda, que precisaria ganhar? Porque o pedalo vai pra cá e tu não dá certo, não dá certo. Então tá.",Preferência pessoal,Mais de 5 anos,Buracos na ciclovia,Não,Não,Não
51,Masculino,"""E tem alguma rua de Fortaleza que você gostaria de ver uma ciclofaixa ou ciclovia? Pra mim a verdade era todas, mas não tem como, né? Mas uma assim que você olha no seu caminho, no seu dia a dia, que você acha que tem que ter? Rapaz, eu acho que aquela avenida rompeu a sua, ela muda? Ah, não tem, né? Mas eu acho muito... Muitas delas a gente tá pedindo ainda, né? Tá precisando ainda, né? Você mora aqui pela região? Tem alguma aqui perto? Rapaz, eu... Não, eu não moro... Pra dizer a verdade, eu moro em Guariúba, né? Entendi. Aí eu tô usando, morando pra cá, né? Aí eu ando muito de bicicleta, né? Entendi. Então, você acha que a João Pessoa é uma que... Precisa, né? Ela não tem acostamento também, né? O José disputa com os carros e os ônibus, né? Ali, a João Pessoa ali é uma vinheta que... Eu não aconselho pra ninguém andar nela não, certo? Eu não quero andar nela em jeito nenhum.""",Rapidez \ Tempo; Preferência pessoal; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
64,Masculino,"Tem algum local aqui em Fortaleza que não tem ainda ciclovia ou ciclofaxo que. Você acha que mereça? Tem a Perimental. A Perimental, né? Ela começa ali da Avenida Bernardo Manoel, vai até Messejão e eu não ando nela. E não tem, né? Não tem, é perigoso.",Preferência pessoal;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não
60 anos,Masculino,"E tem alguma rua de Fortaleza que você gostaria de ver um ciclovia ou ciclofaixa aqui na região que você circula mais, que você sente falta? Porque eu uso mais a Godolferdo Maciel e a Zé Baixo, em todas as duas tem uma boa ciclovia. Mas e as conexões? Tem alguma conexão que falte? Não, tá ótimo. A parte de cruzamento, de sinalização tá ótimo. Esse aqui foi um dos cruzamentos que foi melhorado.",Exercício e saúde; Custo \ É mais barato; Preferência pessoal,Mais de 5 anos,Buracos na ciclovia,"Sim, tenho medo de acidentes",,"Sim, por um carro"
24 anos,Masculino,"E tem alguma rua de Fortaleza que você queria ver uma ciclovia, ciclofaixa, aqui na sua região, nos locais que você circula, que você disse que tinha que ter uma ciclofaixa e não tem? Tem, tem sim.",Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não
25,Masculino,"E tem alguma via em Fortaleza que não tenha a faixa ciclovía que você acha que está precisando, que mereça? Eu vou ser real, até agora eu não fui para aquela banda onde não tem. Porque os cantos que eu vou tem, sabe? Eu não cheguei a ir para outros cantos não.",Rapidez \ Tempo,,Má qualidade das ciclovias; Lixo na ciclovia; Buracos na ciclovia; Outros obstáculos na ciclovia,Não,Não,Não
73,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ver na ciclovia? Pra mim tá bom, né? Eu moro aqui na Maraponda. Ah, você faz. O deslocamento por aqui. Mesmo. Né? Não, não, não. Vou me juntar aqui todo dia pra você. Tá. Obrigada, hein moço.",Única opção,,,,,Não
27,Masculino,"""Tu tem vontade de trocar a bicicleta. Por outro moto de transporte? Tenho uma moto. Mas tu só não trocou ainda porque não... Entendi. E tem alguma via que tu passa. No teu trajeto diário que tu acha. Que merecia ter ciclofaxo e que não tem? Deixa eu ver aqui... Não, no momento não. De onde eu venho já tem... Tudo tem ciclo fácil. Exato. Que bom. Só uma vez que eu passei foi na Perimetral. Que não tem. Ah, sim, na Perimetral. Vai voltar lá. Pronto. Vai voltar. O que vem, vai ter lá. Pronto. Acho que o Perimetral tem tudo pra ti também.""",Exercício e saúde,Entre 3 e 5 anos,"Lixo na ciclovia, Outros obstáculos na ciclovia","Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
36 anos,Masculino,"E tem alguma via em Fortaleza que não tenha ciclofaixa, ciclovia, que você acha que está precisando, assim, que merece? Eu acho que a 2ª Culpa já tem, a 3ª também, acho que já tem, porque ela é muito estreita. A 3ª não tem, a 2ª não sei dizer. Ela é muito estreita, a 2ª Culpa também, é muito estreita. Principalmente com o pessoal que mora por ali.",Exercício e saúde; Preferência pessoal,,Falta de ciclovias,,Não,Não
44 anos,Masculino,"Até agora não encontrei nenhuma, tá sendo todas renovadas.",Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,Não,Não,Não
60 anos,Masculino,"E existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Não, tá maravilhoso. O jeito que tá, tá maravilhoso. Não tenho o que reclamar de nada.",Exercício e saúde;Custo \ É mais barato;Preferência pessoal,,Outros obstáculos na ciclovia,,Não,Não
41,Masculino,"E a última pergunta, tem alguma rua em Fortaleza que você gostaria de ver uma ciclovia ciclofaixa? No seu trajeto, tem algum canto, alguma conexão que tá faltando? Perimetal. Perimetral? É, lá tem não. Tem não. Mas perigoso é lá mesmo.",,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
48,Feminino,"E existe alguma rua que o senhor. Anda, fora Godofredo, né, que o senhor acha que deveria ter ciclofaxo e que não tem? Senão eu não tô no ano não.",Rapidez \ Tempo;Mais fácil;Praticidade e conveniência,,Buracos na ciclovia,Não,Não,Não
Meia-noite,Masculino,"E tem alguma rua de Fortaleza que você gostaria de ver um ciclovia? Ah, João Pessoa, né? João Pessoa, tem mais alguma que você acha importante? Ah, Dedé Brasil, tivesse era bom. Dedé Brasil? De uma ponta a outra, até o Castelão. Certo. Que não tem.",Exercício e saúde,,Invasão de carros ou motos na ciclovia,Não,,Não
32,Masculino,"Aí por último, só assim, tem alguma via que o senhor passa todo dia que o senhor acha que merecia ter uma ciclofaxa e que hoje não tem? Não, cara, não, porque o meu caminho é curto, é só uma reta basicamente. Tudo já tem, né? E eu não vou muito assim... Mais para Fortaleza, né? Não, não tem jeito.",Exercício e saúde,,Buracos na ciclovia,Não,Não,Não
47 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ver alguma ciclovia? Ah, tá bom. Por enquanto aqui já tá suficiente já. Valeu.",Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não
30 anos,Feminino,"Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Estilabeira Mar, eu acharia legal.",Rapidez \ Tempo; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
31 anos,Masculino,"E tem alguma rua aqui em Fortaleza, aqui na região, que tu queria que tivesse ciclovia ou ciclopatra e não tem? Rapaz, tem... Agora, não... Não sei, mas é o nome da rua.",Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
38,Feminino,"Não, eu só. Andei por aqui.",Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia; Lixo na ciclovia,,Não,Não
39 anos,Masculino,"Sim, eu acredito que como eu passo todo dia ali na perimetral, eu acho que é uma avenida muito perigosa e ali eu acho que precisava ter. Todos os dias eu passo por ela e é importante lá também ter.",Exercício e saúde; Praticidade e conveniência,,Falta de ciclovias,"Sim, tenho medo de acidentes",,Não
38,Masculino,"E tem alguma via em sua taleza que você acha que ainda não tem, nem se for faixa, nem se for via que você acha que tá precisando merecer?",Rapidez \ Tempo; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,Não,"Sim, por uma moto"
42 anos,Masculino,"Eu acho que um pedaço da perimetral que tem que não tem. Até na Messejana não tem. Da onde eu moro, do Zerval, pra Messejana não tem. Na perimetral, né?",Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
63,Masculino,"E existe alguma rua aqui em Fortaleza que tu passe, que tu gostaria que tivesse um ciclovia ou ciclofaxe e não tem? Rapaz, na verdade, eu ando só em ciclovia, porque aqui tem, no Rio de Janeiro tem, é... Sim, sabe qual é que precisava? Aqui é Osório de Paiva. Ali é a principal, precisava ciclovia ali. Pra emendar lá na frente, depois do Siqueira, né? Do viaduto lá. Ali merecia. E não tem ali.",Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não
52,Masculino,"Aquela ali é perimetral, né? Ah, perimetral. Ali tá, tu falou que muda em planalha. Ah, não tem, né? Pronto, é. Aí vai... Aí vai botar, tu faz ali.",Exercício e saúde;Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",,Não
18 anos,Masculino,"E tem alguma rua em Fortaleza que você gostaria de ver uma ciclofaixa ou ciclovia sendo instalada? Os cães que eu ando não... Tem bastante ciclofaixa, ainda não... Se tiver algum. Trecho que tu lembre, assim, tu andando, que podia ter uma ciclovia, tem algum que tu lembre? Eu acho que... Na João Pessoa, só que ela é muito pequena pra ter ciclovia, porque... Mas João Pessoa não tem isso não, vamos pensar onde você acha que tinha que ter, João Pessoa, né? João Pessoa.",Exercício e saúde;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,Não
52 anos,,"Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Todas têm, né? Algumas são paralelas, mas todas têm. Ah, ótimo. Será só isso.",Exercício e saúde; Praticidade e conveniência; Mais fácil,,Invasão de carros ou motos na ciclovia,,Não,Não
40 anos,Masculino,"E só pra finalizar, tem alguma via em Fortaleza que não tem ciclovia, nem ciclopacho que você acha que precisa, que tá merecendo uma? Pode ser lá pela Granja de Lisboa, por aqui na região? Lá, lá tem. Lá tem. Pô, eu não sei, porque eu não ando muito em outros... No seu caminho todo sempre tem. Meu caminho todo tem, é. Daqui até em casa tem, Ciclofaixa. Daqui, pegando aos olhos, José Basti, João Pessoa, todas tem via Ciclofaixa.",Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Custo \ É mais barato,,Medo de assaltos,Medo de assalto e de acidente,Não,Não
40 anos.,,Essa informação não está disponível no texto.,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Machismo e desrespeito,,,Não
28 anos,Masculino,O trajeto do Terminal do Siqueira Até que na Vila Peri. Não tenho a ciclofaixa ainda.,Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,Não,Não
55 anos,Masculino,"E existe alguma rua em Fortaleza que você gostaria de ter uma ciclobia? Não, não sei nem dizer, porque eu acho que o meu percurso já tem e pra mim é ótimo, né?",Exercício e saúde;Segurança no trânsito,,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,,Não,Não
64 anos,Masculino,"Tem alguma rua de Fortaleza que você gostaria de ver um ciclo face ou ciclo via? Rapaz, de momento, se pudesse, todas elas era pra ter, viu? Todas elas? Mas tem alguma, assim, que você lembra, olha, que não tem. Tinha que ter? Não, não, de momento não, porque eu não ando muito assim pra longe. Mas quando eu vou, todas elas têm algum equipamento.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não
38 anos,Feminino,E existe alguma rua aqui em Fortaleza que tu gostaria que tivesse ciclovia ou ciclofaixa que não tem? A Conego de Castro.,Rapidez \ Tempo; Praticidade e conveniência; Mais fácil,,Invasão de carros ou motos na ciclovia; Outros obstáculos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma bicicleta melhor"
53 anos,Masculino,E existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Na rua onde eu moro.,Preferência pessoal,,Lixo na ciclovia; Invasão de carros ou motos na ciclovia,,Não,Não
29 anos,Feminino,"Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Eu não sei o nome, mas é ali pela Parangaba. Eu vejo que ali não tem espaço pra gente trafegar. É tanto que eu vi pela Lineu, aí eu vim direto na Nereu aqui, entendeu? Não tem pra aquele lado ali. Não dá, eu acho perigoso.",Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",,Não
45 anos,Feminino,E tem alguma rua de Fortaleza que você gostaria de ver uma ciclofaixa ou ciclovinha implantada no seu trajeto? Osório de Paiva. Todinha ela.,Custo \ É mais barato,,Buracos na ciclovia,,Não,Não
51,Masculino,"""Se eu fosse dar uma sugestão para melhorar a qualidade de vida do ciclista, qual é a principal coisa que o senhor acha que a gente tinha que fazer? A melhorar? ter mais sinalização pra gente, né? Mais ciclofaixas, né? Isso, pra gente andar mais seguro e não ter acidente, né?""",Exercício e saúde;Rapidez \ Tempo;Preferência pessoal,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não
30,Feminino,"Tem alguma rua de Fortaleza que você gostaria de ter um ciclofaixa ou ciclovia no seu trajeto? Manauviária. Do Anel Viário? É, do Anel Viário. Principalmente nessa parte do Terminal do Siqueira até o Terminal da Parangaba, no sentido Augusto dos Anjos.",Exercício e saúde;Praticidade e conveniência;Única opção,,Falta de ciclovias,,,
21,Masculino,"E só pra finalizar, tem algum avião em Fortaleza que tu ande ou que tu conheça que não tenha ciclovia nesse ciclofaixa que tu acha que esteja precisando mesmo, assim? Eu... pior que não. Tu anda mais por aqui? É. Já tem, né?",Rapidez \ Tempo; Praticidade e conveniência,,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não Classificável,"Sim, por um carro"
54,Masculino,"E só pra finalizar aqui, você tem alguma sugestão de alguma via de Fortaleza que você passa. Que você conheça, que. Não tenha ciclovia e ciclofaixa que você. Acha que esteja merecendo? Aquela ali, a... Que vai pro Castelão? Churuba? Isso. Que a dali parece que precisa muito.",Exercício e saúde; Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não
47,Masculino,"E existe alguma rua em Fortaleza que você gostaria de ver uma ciclobia? Mas ali não, na Osório de Paiva, que lá tá faltando, não tem não.",Exercício e saúde;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não
27 anos,Masculino,Tu tem alguma sugestão de melhoria? Ou alguma rua que tu gostaria que tivesse que fazer simbologia?,Custo \ É mais barato;Rapidez \ Tempo,,Lixo na ciclovia; Buracos na ciclovia,Medo de assalto e de acidente,Não,Não
58,Masculino,Isso teria alguma sugestão para a gente melhorar o ciclismo em Fortaleza?,Rapidez \ Tempo;Custo \ É mais barato,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,Não
28,Masculino,"E existe alguma rua que você gostaria que tivesse ciclovia? Ah, de qual? Não sei dizer. Por aqui, por lá, para cá... O caminho que eu faço tem todo. Ah, tá. O percurso todo tem. Sim. Ah, então ótimo.",Rapidez \ Tempo; Praticidade e conveniência; Mais fácil,,Sinalização inadequada; Desrespeito dos motoristas ou Trânsito,Não,Não,Não
26,Masculino,"E só pra finalizar aqui, tem algum avião que você passa, que você conheça, que não tem ciclovia, nem ciclofaixa, que você acha que esteja precisando? Não, não.",Praticidade e conveniência;Única opção,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não
40 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ver um ciclovias com faixa aqui no seu trajeto? No meu trajeto é bem assistido, entendeu? É mais a questão da manutenção, porque tem buracos, faixa apagada, é mais isso mesmo.",Exercício e saúde,,Má qualidade das ciclovias,,,Não
35 anos,Masculino,"Eu queria que tivesse, por exemplo, na João Pessoa, sabe? Que é uma que não tem e eu, às vezes, preciso ir em direção à Benfica, centro, pegar por ali e aí é bem complicado.",Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",,Não
68,Masculino,"E existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Que não tem? São várias, né? No momento eu não tô lembrado não, mas são várias, são várias. Ali na José Bastos, pontuação daqui da Augusto dos Anjos, volta a ciclovia ali, né? Sim.",Exercício e saúde,Mais de 5 anos,Buracos na ciclovia; Má qualidade das ciclovias,,Não,Não
39 anos,Masculino,"E existe alguma rua de Fortaleza que você gostaria de ver em ciclovia? Olha, porque Fortaleza eu conheço pouco, né, mas... Bom, pelos locais que eu já andei aqui em Fortaleza, vários locais já me atenderam.",Exercício e saúde;Segurança no trânsito;Preferência pessoal,,Nenhum dos problemas/Não enfrenta dificuldade,Não,Não,Não
32 anos,Masculino,"Tem alguma rua que tu gostaria que tivesse ciclovia ou ciclofaixa que ainda não tem? Ou que tá muito ruim, que tu gostaria de melhorar? A ciclofaixa tem que melhorar, né? Principalmente essa aqui, da Budapest, tá cheio de buraco Principalmente lá na frente, lá no final da Budapest",Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,Não,Sim,Não
Trinta e dois,Masculino,"E só pra finalizar, tem alguma ciclovia ou ciclofaixa, alguma via que você passa, alguma rua ou avenida que você passa que não tem, nem ciclovia, nem ciclofaixa que você acha que existe? Augusto dos Anjos tem, precisa, precisa sim, precisa muito.",Rapidez \ Tempo; Praticidade e conveniência; Preferência pessoal,,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,,,Não
34,Masculino,"Pronto, tem alguma via que o senhor passe de bicicleta que o pessoal acha que deveria ter ciclofaixa e não tem? Merecia ter ciclofaixa e não tem hoje? Tem bastante já, né? Agora, se eu me lembrar assim, mas já tem muitos. É, né? Não tem de cabeça nenhuma, não? Cabeça não, mas já tem muitos. Eu sei dizer que tem muitos, que já... Aí, aí... Tem muitos. Entendi.",Rapidez \ Tempo; Custo \ É mais barato; Praticidade e conveniência,Menos de um ano,"Má qualidade das ciclovias, Buracos na ciclovia, Desrespeito dos motoristas ou Trânsito",,Não,Não
38,Masculino,"Só pra finalizar, tem alguma via em Fortaleza que você ande ou que você conheça que não tem a sua faixa de ciclovia que você acha que mereça se a gente tá precisando de uma empresa. Cicloviária? A Conelho de Castro.",Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,Não
24,Feminino,"E existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Você anda e traz tempo... Eu acho que a João Pessoa, que é a que eu pego lá na Avenida. É, só tem na Avenida da Universidade de Manaus. Só tem e é bem movimentado lá. Eu vou lá com todo mundo.",Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,Não
