idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
29,Masculino,"Podia. Toda que tivesse e que não tem, bota. Melhora pra nós também, né? Tem alguma que tu lembra de cabeça? Essa tem que ter. De cabeça não, né? Daqui todinho, ó. Desse lado aqui, ó.",Rapidez \ Tempo,Entre 3 e 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não
59,Masculino,"Gostaria de ciclovia em alguma rua que ainda não tem. É só essas partes que não tem, né? Na Castelo de Castro, né? Certo.",Preferência pessoal,Mais de 5 anos,Falta de ciclovias e Risco de acidentes,,Sim,"Sim, por uma moto"
46,Masculino,Não.,Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Invasão de carros ou motos na ciclovia;Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não
53,Masculino,Perimetral. Essa é Campinham.,Exercício e saúde; Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por um carro"
42,Masculino,"Aqui mesmo, não tem ciclofaixa, só tem a metade ali, entendeu? Para aqui, para continuar até o final. Mais a rua ou só é assim? Não, aqui também, é só dinheiro, entendeu? E também ali na que vai para a rampa, não tem ciclofaixa também. Ali é muito bom ter o ônibus também, viu?",Preferência pessoal,Mais de 5 anos,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
32,Masculino,"Tem, a Perimetral. A Perimetral não tem. É a grande campeã!",Rapidez \ Tempo;Preferência pessoal,Mais de 5 anos,Falta de ciclovias e Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
22,Masculino,"Mas lá pra dentro do bairro, pra banda do Castelão acho que tem, se não estou enganado. Mas lá pra dentro do bairro, porque não tem canto pra gente.",Rapidez \ Tempo; Preferência pessoal,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não
48,Masculino,"Não. Não consegue pensar agora? Não, mas na fé.",Custo \ É mais barato; Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
68,Masculino,"Tipo aqui, não tem, né? É, aqui não tem. Na Caixela de Cachorro. É, várias avenidas aqui não tem.",Preferência pessoal,Mais de 5 anos,Invasão de carros ou motos na ciclovia; Risco de acidentes; Falta de ciclovias,"Sim, tenho medo de acidentes",,Não
50,Masculino,"Aqui é a continuação, né? A continuação pra lá. Depois do sinal tem a escrovia. Aí quando a gente passa lá do Caxalão não tem mais escrovia. Então essa continuação... Ali pro lado da Serrinha do Brasil não tem. Você gostaria que estivesse pra lá, né? Era.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
28,Masculino,"Que concluísse é essa? A Castelo de Castro. Isso, a Castelo de Castro.",Exercício e saúde; Preferência pessoal,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Não;Sim, por uma moto"
31,Feminino,"Esse lado aqui né, que é esse lado. A continuação pelo trem.",Única opção,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por um carro"
33,Masculino,"Não, é porque eu ando com pouco escanto por aqui, né? Entendi. Mas eu não... Ah, quanto mais melhor, né? É, quanto mais melhor.",Exercício e saúde,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
38,Masculino,"mas aqui a Castela de Castro tem uma parte que não tem, né? Continuar aqui, né? Até o final. Até o final, é. Mas de algum além dessa? As principais, né? Até o castelão lá, que é lá dos Lão Paulo pra lá, já tem, né?",Exercício e saúde; Preferência pessoal,Não informado,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
47,Masculino,"Alguma rua em Fortaleza tem, assim, ali próximo ali de Iguatemi. Próximo Iguatemi ali, quando vai entrar logo ali na... Sei o que é Leite, eu me esqueci o nome. Aham, eu sei. Entendeu? Perto de uma loja lá de carro lá. Naquele trecho ali... Não tem, né? Não tem, não tem ciclofaixa ali. Fica difícil a gente andar ali.",Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,,Não,"Sim, por uma moto"
40,Masculino,Todinha! Todas?,Exercício e saúde; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
48,Masculino,"Mas é Pelimentral, é Pelimentral. Pelimentral aqui era pra ter uma patezinha, entendeu? Se a gente andava muito apertado.",Exercício e saúde; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Sim,Não
37,Masculino,"Vamos colocar aqui onde a gente mora mesmo, aqui pelo Jancuruçu, que são poucas. A gente só vê aqui no São Cristóvão, perimetral, a gente não vê ciclovia, tá entendendo? E muitas outras. Tem mais pro centro de Messejana, tem, a gente vê bastante, mas da capa periferia não tem. Muita gente falou aqui de continuar essa até o final. Exatamente. Seria uma melhoria pra gente, que é ciclista, né? Continuar essa ciclovia aqui, porque aí não precisava a gente estar se arriscando na frente dos carros pra atravessar por outro lado, sair da ciclovia, pra ir pro outro lado quando ela acaba, né?",Rapidez \ Tempo; Praticidade e conveniência; Segurança no trânsito; Mais fácil,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,Não,,"Sim, por um carro"
46,Masculino,"Não, por enquanto só essa que eu viso mais essa, então não se preocupe com essa.",Praticidade e conveniência; Mais fácil,Entre 1 e 2 anos,Falta de ciclovias;Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não
28,Masculino,"É só essa perimetral aí mesmo, que a ciclofaixa dela é no meio, mas é a única, entendeu?",Exercício e saúde; Rapidez \ Tempo; Custo \ É mais barato; Preferência pessoal,Menos de um ano,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Sinalização inadequada,,Sim,"Sim, por uma moto"
