idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
65 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovia, que ainda não tem? Ou alguma que está ruim, que iria melhorar? João Pessoa, Avenida. Não tem. É horrível pra chegar lá. Horrível, entendeu? Geralmente a gente escolhe mais a Zé Baixo, né? Que agora é outro nome. No meu tempo era Zé Baixo, agora é outro nome.",Exercício e saúde,Mais de 5 anos,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
46 anos,Masculino,"E tem alguma rua aqui em Fortaleza que você gostaria que tivesse na ciclovia, ciclofaixa? Oi? Aqui já tá quase tudo pavimentadozinho, né? Divertido, né? Tá. Perfeito.",Custo \ É mais barato,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
36 anos,Feminino,"Existe alguma rua que você gostaria de ter uma ciclovia aqui pra onde você anda? Essa rua aí é a Major Assis, que é a rua que eu vejo.",Segurança no trânsito; Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
60 anos,Masculino,"Existe alguma rua que você gostaria de ter ciclovia? Aqui? Aqui? Ou em algum outro lugar também, em Fortaleza? Não, a nossa tem. Só não tem nessas fechadas aqui assim, não boto, né? Mas... Mas você gostaria que tivesse? Ah, era bom demais. Com certeza melhoraria demais pra gente.",Praticidade e conveniência,Não aplicável,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
40 anos,Masculino,"Aqui na Majorce já melhorou muito, né, mano? A avenida que é a principal é melhor, né? Que é onde os homens trabalham mais rápido.",Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Medo de assaltos,"Sim, tenho medo de acidentes",Sim,Não
11 anos,Masculino,Aí tu gostaria que tivesse uma ciclofaixa na rua da tua casa? Uma ciclovia? Sim. Ou aqui na rua da escola? Queria muito.,Preferência pessoal,Entre 3 e 5 anos,,Não,Não,"Sim, por uma moto ou por um carro"
31 anos,Feminino,"Assim como eu ando muito no bairro só, aí eu não tenho muito acesso às outras não, mas pelo bairro tá tudo tranquilo. Ótimo.",Rapidez \ Tempo; Mais fácil; Praticidade e conveniência,"Não se aplica, pois a pessoa não menciona há quanto tempo utiliza a bicicleta.",Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
43 anos,Feminino,"Mulher, eu gostaria que tivesse mais ciclovias, né? Eu sei que tem muitas, só que não é suficiente, né? Pra proteger o ciclista, né? Que o ciclista é frágil, né? Pelo menos é frágil, porque tá numa bicicleta, né? A bicicleta é um desafio frágil, né?",Praticidade e conveniência; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,Não
65 anos,Masculino,"E existe alguma rua que você gostaria que tivesse ciclovia? Ah, tem rua que ciclovia aí na...",Preferência pessoal,,Calor ou clima; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
59 anos,Masculino,"E existe alguma rua aqui em Fortaleza, Dubai, que o senhor gostaria que tivesse uma ciclovia, ciclofaixa? Rapaz... Pra mim, se todos estivessem, era melhor.",,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
60 anos,Masculino,"Rapaz, só lá em cima lá, lá na... Não sei o que chama, Marujali.",Única opção; Rapidez \ Tempo,,,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio"
18,Masculino,"Existe alguma rua que você gostaria de ter uma ciclovia? Aqui, por onde você anda, ou em outro lugar? Por aqui mesmo. Pronto.",Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
12 anos,Masculino,"Existe alguma rua que você gostaria que tivesse uma ciclofaixa? Fortaleza? Tipo assim, nessa rua que o pessoal vai embora pra escola, que é mais perigoso, que passa muito carro.",Preferência pessoal,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
47 anos,Feminino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclofaixa? Que ainda não tem? Não, não me recordo agora, não.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
66 anos,Masculino,"Existe alguma rua em Fortaleza que o senhor gostaria que tivesse uma ciclofaixa? Ou alguma que tá ruim pra melhorar? Pronto, essa avenida aí tá horrível, velho. Essa ciclofaixa aí, a da Coronel Carvalho, não existe. Pegando aqui até a Barra, não existe jeito nenhum.",Preferência pessoal,Mais de 5 anos,Lixo na ciclovia; Risco de acidentes; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Sim,Não
