idade,genero,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
24,Masculino,Abolição,Rapidez \ Tempo; Praticidade e conveniência,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,Melhora de qualidade das ciclovias,
63,Masculino,"Nenhuma, todas têm.",Preferência pessoal,Desrespeito dos motoristas ou Trânsito,,Não
79,Masculino,Rua da Paz,Exercício e saúde,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas; Segurança pública,Não
38,Masculino,"Beira Mar, Dom Manuel, Duca de Caxias, Sagento ermínio",Exercício e saúde,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas,
38,Masculino,"No meu trajeto, tudo tem.",Preferência pessoal,Desrespeito dos motoristas ou Trânsito,,Não
41,Masculino,Parte da Abolição,Rapidez \ Tempo,Falta de ciclovias,Melhora de qualidade das ciclovias,Não
59,Masculino,Padre Antônio Tomás,Exercício e saúde,Desrespeito dos motoristas ou Trânsito,Melhora de qualidade das ciclovias,
29,Masculino,Prato Futuro Beira-Mar,Rapidez \ Tempo; Praticidade e conveniência,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas,Não
37,Feminino,Abolição,Exercício e saúde;Rapidez \ Tempo,Invasão de carros ou motos na ciclovia; Sinalização inadequada,Conscientização dos motoristas; Melhoria da fiscalização,Não
60,Masculino,,Exercício e saúde,Desrespeito dos motoristas ou Trânsito,,
48,Masculino,A Abolição aqui,Exercício e saúde; Rapidez \ Tempo; Preferência pessoal; Praticidade e conveniência,Desrespeito dos motoristas ou Trânsito,,Não
NULL,Feminino,Eu acho que é perto do... do Cucubambu. Acho que tá melhorando a pintura da parte do meio. Tá apagado.,Preferência pessoal,Outros obstáculos na ciclovia,Melhoria da Iluminação,Não
55,Masculino,,Preferência pessoal,,"Melhora de qualidade das ciclovias, Limpeza das ciclovias",
NULL,Masculino,"As que eu percorro, todas elas têm ciclofaixa.",Exercício e saúde;Segurança no trânsito,"Desrespeito dos motoristas ou Trânsito, Invasão de carros ou motos na ciclovia, Outros obstáculos na ciclovia",Melhoria da fiscalização; Segurança pública,Não
60,Masculino,Abolição,Única opção,"Desrespeito dos motoristas ou Trânsito, Sinalização inadequada",Melhoria da fiscalização,"Sim, por uma bicicleta melhor"
14,Masculino,Não.,Preferência pessoal,Risco de acidentes,Conscientização dos motoristas; Segurança pública,
36,Masculino,"Ah, eu não consigo te falar porque eu sou de Manaus.",Exercício e saúde; Preferência pessoal,Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias,Não
14,Masculino,Avenida Peramaro/Taboide,Preferência pessoal,Outros obstáculos na ciclovia,,"Sim, por uma moto"
13,Masculino,Avenida Peramaro/Taboide,Preferência pessoal,"Outros obstáculos na ciclovia, Machismo e desrespeito",,
50,Masculino,Ciclofaixa de um subúrbio,Exercício e saúde,Má qualidade das ciclovias; Buracos na ciclovia; Outros obstáculos na ciclovia,,Não
71,Masculino,Aínda Gerão,Exercício e saúde;Preferência pessoal,"Invasão de carros ou motos na ciclovia, Desrespeito dos motoristas ou Trânsito",Conscietização dos motoristas,Não
34,Masculino,,Praticidade e conveniência; Exercício e saúde,Desrespeito dos motoristas ou Trânsito; Sinalização inadequada,,
67,Masculino,Rogação do Leite/na frente do Guatemir.,Preferência pessoal,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Conscietização dos motoristas,Não
30,Feminino,Gonçalves Leido.,Preferência pessoal,Desrespeito dos motoristas ou Trânsito,Conscientização dos motoristas;Melhoria da fiscalização,"Sim, por uma moto"
