idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
29 anos,Feminino,"Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde; Preferência pessoal,Menos de um ano,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
47 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde,Menos de um ano,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
42 anos,Masculino,"Nesse momento, não sei dizer. Eu faço um percurso do Cocó pra Praia de Iracema, basicamente todo em ciclofase. O meu percurso que eu ando hoje em dia é bem bacana.

Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
28 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.
Eu acho a Avenida Dioguinho.",Exercício e saúde; Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
55 anos,Masculino,Gostaria que tivesse sim.,Custo \ É mais barato; Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
43,Feminino,"Poderia ter ali na rua, ali na Antônio Justo.

Assim, todos que eu pego, a Dom Luiz... Eu acho que se tivesse essas ruas movimentadas, se todas tivessem, seria bem melhor. Porque tem umas que, até lá no centro, você não consegue, só se for pela abolição, né? Mas se você for aqui direto, chega na metade do caminho e acaba. Aí eu queria que fosse até... Chegasse lá no centro.",Rapidez \ Tempo;Praticidade e conveniência,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
40 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
32 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde,Mais de 5 anos,Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
17 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo. A Silas Manguba.",Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Sim,"Sim, por uma moto ou por um carro"
39 anos,Feminino,"Poderia ter ali na rua, ali na Antônio Justo.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
45,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Calor ou clima,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
17 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Preferência pessoal,Mais de 5 anos,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por uma moto"
49 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Sim,"Sim, por uma moto"
17 anos,Não há informações suficientes no texto para determinar o gênero da pessoa.,"Poderia ter ali na rua, ali na Antônio Justo.

Você gostaria que tivesse uma ciclovia? Alguma rua que ainda não tenha uma ciclovia, ou se for fácil, que você gostaria que tivesse? Na mesma rua, né? Na Rodriguinho. Certo.",Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
38,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Rapidez \ Tempo,Entre 3 e 5 anos,Risco de acidentes; Calor ou clima,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
6 anos,Masculino,"Tem alguma rua que tu queria ver um ciclofaixo em Fortaleza que não tem? Tem? Eu sei, eu quero ver. Tu. Quer ver ciclofaixo, né? Nas ruas, então? Pois então, pronto.",Preferência pessoal,Mais de 5 anos,,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
41 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Rapidez \ Tempo; Mais fácil,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
27 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma bicicleta elétrica ou por uma bicicleta melhor"
29,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde; Preferência pessoal,Mais de 5 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
50 anos,Masculino,"Existe alguma rua aqui em Fortaleza que você gostaria que tivesse ciclovia ou ciclopacha e hoje não tem? Rapaz. Na Pereira Figueiredo de lá pra cá não tem. Várias ruas de lá pra cá não tem. Nem daqui pra lá, nem de lá pra cá. Só nas ruas mais vistas. Que é a Dão Luiz, Santos Dumont, Marravenida, aí vai a escola de samba, só bota as coisas. O movimento nas avenidas.",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
52 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Custo \ É mais barato;Praticidade e conveniência;Mais fácil,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Calor ou clima,Não,Não,Não
43 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.

Tudo que agora tem, aqui onde eu passo tem. Onde você passa tem, né? Tem.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
23 anos,Feminino,"Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde,Menos de um ano,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
25 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
37 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
45,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde;Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
32 anos,Feminino,"Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma bicicleta elétrica"
44 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde,Mais de 5 anos,Buracos na ciclovia; Outros obstáculos na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
19 anos,Masculino,"Context [1]: Poderia ter ali na rua, ali na Antônio Justo.
Context [2]: Não, não.",Custo \ É mais barato; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Não,"Sim, por uma moto"
24 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Exercício e saúde; Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
51 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.
Vicente Pison.",Exercício e saúde; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Calor ou clima,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro"
37 anos,Masculino,"Poderia ter ali na rua, ali na Antônio Justo.",Mais fácil; Exercício e saúde,Mais de 5 anos,Falta de ciclovias; Má qualidade das ciclovias; Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por uma moto ou por um carro"
