idade,genero,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_ciclista_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_tem_medo_de_sofrer_acidentes_agrupado,ja_sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
26 anos,Male,Exercício e saúde,A informação não está disponível no texto.,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
53 anos,Male,Exercício e saúde; Rapidez \ Tempo,A informação não está disponível no texto.,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
37 years old,Male,Exercício e saúde; Praticidade e conveniência; Segurança no trânsito,"Não há resposta para classificar. Por favor, forneça a resposta que deseja classificar.",Desrespeito dos motoristas ou Trânsito; Machismo e desrespeito,"Sim, tenho medo de acidentes",Não,Não
31 years old,Male,Preferência pessoal,Não há informações no texto sobre há quanto tempo o respondente é ciclista.,Risco de acidentes; Buracos na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
21 anos,Male,Rapidez \ Tempo,Não há informações para classificar.,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Não,Não
44,Male,Exercício e saúde;Praticidade e conveniência,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",Sim,Não
41,Male,Preferência pessoal,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Desrespeito dos motoristas ou Trânsito,Não,Não,Não
41,Male,Exercício e saúde,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Desrespeito dos motoristas ou Trânsito,Não,Não,Não
37,Male,Única opção,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia; Outros obstáculos na ciclovia,Não,Não,"Sim, por uma moto"
48,Male,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Mais fácil,A informação não está presente no texto.,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
56,Male,Preferência pessoal,Não há informações disponíveis.,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
47,Male,Rapidez \ Tempo;Praticidade e conveniência,Não se aplica,Desrespeito dos motoristas ou Trânsito,,Não,Não
18 years old,Male,Rapidez \ Tempo,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Não,Não
28 anos,Male,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,A informação não está disponível no texto para ser classificada.,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma bicicleta elétrica"
42 years old,Masculine,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,Não,Não
37 years old,Male,Rapidez \ Tempo; Custo \ É mais barato,A informação não está disponível no texto.,Falta de ciclovias,A informação não está disponível no texto.,,"Sim, por uma moto"
46,Female,Exercício e saúde; Rapidez \ Tempo,A informação não está disponível no texto.,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não
45,Male,Exercício e saúde;Rapidez \ Tempo;Preferência pessoal,A informação não está disponível no texto.,Falta de ciclovias,,,Não
23 years old,Female,Única opção,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
35 anos,Feminine,Rapidez \ Tempo,N/A,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
56 years,Male,Exercício e saúde,A informação não está disponível no texto.,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
45 anos,Male,Rapidez \ Tempo;Segurança no trânsito,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,,Não
54,Male,Rapidez \ Tempo,A informação não está disponível no texto.,,"Sim, tenho medo de acidentes",,Não
39,Male,Rapidez \ Tempo; Praticidade e conveniência; Preferência pessoal,Não há informações para classificar.,Má qualidade das ciclovias; Outros obstáculos na ciclovia,Não,Não,Não
41 anos,Male,Exercício e saúde;Segurança no trânsito;Praticidade e conveniência,A informação de quanto tempo o respondente é ciclista não está presente no texto.,"Risco de acidentes, Outros obstáculos na ciclovia",Não,Não,Não
56,Male,Rapidez \ Tempo; Custo \ É mais barato; Preferência pessoal,Mais de 5 anos,Buracos na ciclovia; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",,Não
35,Male,Rapidez \ Tempo; Praticidade e conveniência; Mais fácil,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,Falta de ciclovias,Não,Sim,"Sim, por uma moto"
22 anos,Male,Exercício e saúde,Não há informações disponíveis.,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por um carro"
24 years old,Male,Rapidez \ Tempo;Praticidade e conveniência;Exercício e saúde,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
45,Male,Rapidez \ Tempo;Mais fácil,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Desrespeito dos motoristas ou Trânsito,,Não,Não
45,Male,Praticidade e conveniência;Mais fácil,Entre 1 e 2 anos,Buracos na ciclovia; Má qualidade das ciclovias; Sinalização inadequada; Lixo na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
56,Male,Segurança no trânsito;Rapidez \ Tempo,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Desrespeito dos motoristas ou Trânsito,Não,Não,Não
20,Male,Exercício e saúde;Praticidade e conveniência,A informação não está disponível no texto.,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma bicicleta melhor"
47,Male,Praticidade e conveniência;Custo \ É mais barato,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma bicicleta elétrica"
Meia-cento,Masculine,Praticidade e conveniência; Preferência pessoal,A informação não está presente no texto.,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
43 years old,Male,Rapidez \ Tempo;Praticidade e conveniência;Mais fácil,Não há informações,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,,
30 anos,Male,Exercício e saúde;Praticidade e conveniência,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,"Buracos na ciclovia, Outros obstáculos na ciclovia",,Não,Não
41 years old,Male,Rapidez \ Tempo;Preferência pessoal,A informação não está disponível no texto.,Desrespeito dos motoristas ou Trânsito,,Não,Não
38,Male,Rapidez \ Tempo;Custo \ É mais barato;Praticidade e conveniência,A informação não está disponível no texto.,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
45 anos,Male,Exercício e saúde;Única opção,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Desrespeito dos motoristas ou Trânsito,Não,,"Sim, por uma moto."
27,Male,Rapidez \ Tempo; Praticidade e conveniência,Não aplicável,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não
31 anos,Male,Rapidez \ Tempo,A informação não está disponível no texto.,Buracos na ciclovia; Outros obstáculos na ciclovia,,,Não
43,Male,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,A informação não está disponível no texto.,Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
42,Male,Exercício e saúde;Rapidez \ Tempo,Não há informações no texto para classificar.,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
53,Male,Exercício e saúde;Preferência pessoal,Não há informações.,Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia; Invasão de carros ou motos na ciclovia; Outros obstáculos na ciclovia,Não,Não,Não
37 anos,Male,Rapidez \ Tempo; Praticidade e conveniência,A informação não está disponível no texto.,Buracos na ciclovia; Outros obstáculos na ciclovia; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",,Não
24,Male,Preferência pessoal; Praticidade e conveniência,Calculations are not supported. Please use the Gemini side panel instead.,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,,Não,Não
44 anos,Male,Preferência pessoal,Não há informações,Desrespeito dos motoristas ou Trânsito,,Não,Não
30 anos,Male,Exercício e saúde;Rapidez \ Tempo,A informação não está disponível no texto para ser classificada em nenhuma das categorias.,Desrespeito dos motoristas ou Trânsito,,,Não
44,Male,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,Não,Não
57 years old,Male,Custo \ É mais barato;Única opção,A informação de há quanto tempo o respondente é ciclista não está disponível no texto.,Medo de assaltos,Medo de assalto e de acidente,Sim,"Sim, por uma moto"
44,Male,Exercício e saúde;Rapidez \ Tempo,A informação não está disponível no texto.,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
18 anos,Male,Custo \ É mais barato,Não classificado,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
46 anos,Male,Rapidez \ Tempo;Custo \ É mais barato,A informação não está disponível.,Buracos na ciclovia; Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,,Não,Não
26,Male,Exercício e saúde;Única opção,Não há informações disponíveis para classificação.,Falta de ciclovias,,Não,"Sim, por uma moto"
The text does not contain the age of the responder.,Female,Exercício e saúde;Praticidade e conveniência,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
41 years old,Female,Exercício e saúde;Praticidade e conveniência;Rapidez \ Tempo,A informação de quanto tempo a respondente é ciclista não está disponível no texto.,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
23,Indeterminate,Exercício e saúde;Custo \ É mais barato,A informação não está disponível no texto.,Buracos na ciclovia; Má qualidade das ciclovias,,,"Sim, por uma moto"
31,Female,Rapidez \ Tempo,A informação não está disponível no texto.,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não
Calculations are not supported. Please use the Gemini side panel instead.,Male,Rapidez \ Tempo,Não há informações disponíveis para classificar.,Buracos na ciclovia; Má qualidade das ciclovias,,Não,Não
38,Masculino,Rapidez \ Tempo; Praticidade e conveniência,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,Não,"Sim, por um carro"
54,Masculine,Exercício e saúde;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
32 anos,Female,Rapidez \ Tempo; Praticidade e conveniência; Preferência pessoal,A informação não está presente no texto para ser classificada.,Lixo na ciclovia; Buracos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",,Não
27,Female,Rapidez \ Tempo; Praticidade e conveniência; Preferência pessoal,A informação não está disponível no texto.,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não
45 anos,Male,Exercício e saúde; Praticidade e conveniência,Informação não presente,Desrespeito dos motoristas ou Trânsito,,Não,"Sim, por uma moto"
42 anos,Male,Exercício e saúde; Rapidez \ Tempo; Mais fácil,Entre 3 e 5 anos,Buracos na ciclovia; Má qualidade das ciclovias; Falta de ciclovias,"Sim, tenho medo de acidentes",,Não
59,Male,Exercício e saúde; Preferência pessoal,A informação não está disponível no texto.,Falta de ciclovias; Outros obstáculos na ciclovia,Não,Não,Não
55,Male,Exercício e saúde;Rapidez \ Tempo,A informação não está disponível no texto.,Desrespeito dos motoristas ou Trânsito,,Não,Não
51 anos,Female,Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não
29,Cannot be determined,Preferência pessoal; Exercício e saúde,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Outros obstáculos na ciclovia; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Sim,Não
54,Male,Preferência pessoal,Mais de 5 anos,"Falta de ciclovias, Má qualidade das ciclovias, Outros obstáculos na ciclovia",,Não,Não
50 years,Female,Rapidez \ Tempo;Segurança no trânsito;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia,"Sim, tenho medo de acidentes",,
