idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
67,Masculino,"tem alguma rua aqui em Fortaleza que não tenha ainda essa ciclovia, que o senhor gostaria que tivesse? É boa, essa aqui é boa. Eu tinha. Eu queria. Qual o nome da rua? A onde eu moro é a Turipa. Qual o nome? O Otulipa. O Otulipa onde é que fica? Riadiracema. Ah, na Praia de Riacema, certo. Riadiracema. Jardim Riacema. Riadiracema.",Rapidez \ Tempo,Mais de 5 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
20 anos,Masculino,"Existe alguma rua em Fortaleza que tu gostaria que tivesse uma ciclovia ou ciclofaixa que ainda não tem? Ah, sei dizer o nome não. Mas... Pô, eu não sei dizer. Tá. Eu não conheço o nome.",Custo \ É mais barato;Exercício e saúde,,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Não,Sim,"Sim, por uma moto"
42 anos,Feminino,"E existe alguma rua de Fortaleza que a senhora passa no dia a dia que não tem ciclofaxe, mas que a senhora acha que precisava ter? Não, por onde eu passo já. Tem, né?",Rapidez \ Tempo; Praticidade e conveniência; Mais fácil,Entre 3 e 5 anos,Risco de acidentes,,Não,Não
42,Masculino,E existe alguma rua em Fortaleza que tu gostaria que tivesse ciclovia e hoje não tem? Só a Perimetral. Só a Perimetral. Só a Perimetral. É o principal.,Exercício e saúde; Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
60 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia? Ó, essa ciclovia ali. Algum lugar que não tem. Ó, do Itoibizê pra lá não tem ciclovia. Até Lagoa do Tabapá não tem. Tem depois de lá já tem, entendeu? Agora daí até lá não tem não, filha. Mas lá é Calcai ou é Fortaleza? É Calcai, né? É. Ah, é Calcai. E aqui em Fortaleza tem algum? Não, não. Não tem não. Show.",Custo \ É mais barato;Única opção,Mais de 5 anos,Lixo na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
35 anos.,Masculino,"Existe alguma rua em Fortaleza que tu queria que tivesse uma ciclovía, uma faixa que ainda não tem? A Fábio Perdigão, Sampaio.",Praticidade e conveniência; Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,Não,Não,Não
51,Masculino,"E existe alguma rua em Fortaleza que tu queria que tivesse ciclofaixa ou ciclovia e não tem hoje? Rapaz, é o seguinte, tem canto aí que tem a faixa e não respeita ninguém, né? Aí tem canto que não tem, né? Se tivesse protegido, separado, era melhor. É melhor, né? Está melhor para o senhor. Está melhor para a gente, né? Está bom. Obrigado. Porque a bicicleta é o trabalho da gente. O carro desse aí tem uma ciclovia assim, mas a gente não paga para ninguém. A gente paga por si mesmo, para. Não sair do meio. Mais respeito, né? É. Está bom. Obrigado. Foi obrigado para o senhor.",Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
31,Feminino,"E tem alguma rua que a senhora passa que não tem escova fácil, mas a senhora acha que precisava ter? Ah, com certeza. A Francisco Sá. A Francisco Sá. A Francisco Sá é horrível quando a gente bicicleta.",Única opção,Entre 2 e 3 anos,"Desrespeito dos motoristas ou Trânsito, Risco de acidentes","Sim, tenho medo de acidentes",Sim,"Sim, por um carro"
73,Masculino,"Alguma rua aqui em Fortaleza que você queria que tivesse ciclovio, ciclofagem? Aqui? Não, aqui eu queria, era ali onde fizeram aquele asfalto novo, que os carros faltam passar por cima da gente ali.",Preferência pessoal,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não
30 anos,Masculino,"E tem alguma rua que tu passa no dia a dia aí que não tem essa rua faixa, mas que tu acha que deveria ter? No momento eu estou lembrado. Mas é. Fácil de resolver.",Exercício e saúde,Entre 3 e 5 anos,Sinalização inadequada; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não
48 anos,Masculino,"E existe alguma rua aqui em Fortaleza que você gostaria de perguntar? Que estrutura como é a sua ciclovia? Essa aqui bem. Porque tem muito lixo. Só manutenção, né? Só manutenção. Tem muito lixo. Passa ela e estima mais. Da leste mais pra cá você encontra muito. Lixo. Tá bom.",Preferência pessoal,Mais de 5 anos,Buracos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
53 anos,Masculino,"Diz uma coisa, existe alguma rua em Fortaleza que tu gostaria que tivesse e que tu faça? O ciclovia aí hoje não tem. A pontuação das é baixa. Quando a gente chega ali no Terminal da Lagoa, até o Terminal de Siqueira não tem... A gente tem que andar no meio dos carros ali. Não tem. Se tivesse aquele espaço... Da onde eu vejo, do Bom Jardim até o Centro, eu chego no Siqueira, aí tem que provir até o Siqueira. Do Siqueira até o Terminal da Lagoa não tem. A gente tem que andar no meio dos carros.",Rapidez \ Tempo; Praticidade e conveniência; Segurança no trânsito,Mais de 5 anos,Má qualidade das ciclovias; Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia; Outros obstáculos na ciclovia,Medo de assalto e de acidente,Não,"Sim, por uma moto"
26 anos,Masculino,"Existe alguma rua em Fortaleza que tu queria que tivesse ciclofaxe que ainda não tem? Ou uma que tá ruim, que podia melhorar? Melhorar é aqui na Majoacir mesmo aqui. É, na Majoacir. Mesmo. Sim.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
27 anos,Feminino,"Ah sim, como eu só ando mais por aqui, por aqui tá tudo de boa.",Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
quase de 5 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia ou uma estrutura como essa? Como é? Não entendi. Alguma rua em Fortaleza que não tenha ainda ciclovia, que você gostaria que fosse implantada? O meu caminho tem, né? No meu caminho. O caminho de casa tem, para o trabalho tem. Só de ir para casa para o trabalho, não vou para outro lugar não.",Custo \ É mais barato,Mais de 5 anos,Lixo na ciclovia; Outros obstáculos na ciclovia,Não,Não,Não
30,Masculino,"Tu gostaria que tivesse ciclofaxa? Tu acha que tem que ter pra gente? Gostaria, né? Porque ela é essencial no caminhão todo. E que eu pego, a maioria dos. Caminhos também não tem ciclofaxa não. Entendi. E tem alguma rua específica que tu queira pedir que bote ciclofaxa?",Rapidez \ Tempo,Entre 3 e 5 anos,"Desrespeito dos motoristas ou Trânsito, Má qualidade das ciclovias","Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
48,Masculino,"Existe alguma rua em Fortaleza que tu gostaria que tivesse uma ciclofaixa, que ainda não tem? Rapaz, é Fortaleza pra calcar, é o que tá precisando. Tá certo. Porque ali é muito perigoso, eu passo todo dia, é muito perigoso. De manhã, como uma tarde. E se for mais à noite, eu vou dizer mais que ninguém respeita ninguém não. Eu que ando com lanterna, com a bicha atrás, mas ninguém respeita não. Pode vir pra lá ficar. Acredito. Muito obrigada. Valeu.",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não
14 anos,Masculino,Existe alguma rua em Fortaleza que você gostaria que tivesse um ciclofaixo? Tá lembrando de alguma?,Preferência pessoal,Menos de um ano,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não
35 anos,Feminino,"Existe alguma rua em Fortaleza que você gostaria que tivesse mexido por alguma essa ciclovia que não tem ainda? Não, porque aqui o percurso que eu tô fazendo tem sinalização. Então tá tranquilo.",Rapidez \ Tempo,Menos de um ano,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
59 anos,Masculino,"""Agora mesmo o acalçamento era aqui, lá, as faltas. Sim. E não estão mais deixando espaço para o pessoal passar. Sim. De bicicleta. E lá pra cá eu vim e falaram, é, pra cadê o espaço para o ciclista passar? Entendi. A galera invade o espaço, né? Aqui ainda tá, né? Mas lá como as faltas, não tem. Ainda não fizeram a abertura, entendi. Exatamente.""",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,Não,Não,"Sim, por um carro"
39,Feminino,"E existe alguma rua em Fortaleza que não tem ciclopatra, que você gostaria que tivesse ou se tem? Que eu me lembre agora ou não? Todas as ruas tem já, né? É, tem. Legal. Bom, obrigado.",Rapidez \ Tempo,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma bicicleta elétrica"
32 anos.,Masculino,"A Avenida Tempeje, que é aquela que dá na lateral do shopping. Pelo menos da Lerche, subindo pra até o shopping, não tem. Tem um canteiro lá, e é muito estreito e não dá pra passar, mas às vezes a gente tem que passar por lá e a gente tem que ir no meio dos carros mesmo.",Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Não,"Sim, por uma moto"
49 anos,Masculino,"Existe alguma rua em Fortaleza que não tenha ainda essa estrutura da ciclovia e que você gostaria que tivesse? Rapaz, no momento... O local que eu go aí, eu já vi várias ciclovias aí, ciclofaixa, tá de parabéns aí a prefeitura de Fortaleza. Mas até no momento eu não vi ainda não. Quando eu ver aí uma que precisar, eu dou minha opinião aí, viu?",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio"
28 anos,Masculino,"E existe alguma rua em Fortaleza que tu queria que tivesse ciclofaixa ou ciclovia e hoje não tem? Não. Acho que as que eu ando todas tem, né? Monalucena, Coronel. De Carvalho.",Praticidade e conveniência; Segurança no trânsito,Entre 1 e 2 anos,Lixo na ciclovia,"Sim, tenho medo de acidentes",Não,Não
46 anos,Masculino,"Aquela da Avenida Presidente Castelo Branco, começando ali no quartel da Escola Aprendiz de Marinheiro. Era interessante se ela tivesse ciclovia até a Monsenhor Tabosa.",Exercício e saúde;Rapidez \ Tempo,,Lixo na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
61 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia, que é uma estrutura aqui como essa, que não tem ainda? Eu acho que... Acho que a Pernambuco, né? Pernambuco no Planalto Piscina. E também eu não lembro se na rua... que é a outra, que é a da Porto Velho, né? Eu não sei se lá tem também, mas eu acho que a Porto Velho eu acho que já tem a biciclovia.",Exercício e saúde; Preferência pessoal,Mais de 5 anos,Lixo na ciclovia,"Sim, tenho medo de acidentes",Não,Não
57,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclofaixa ou que melhorasse ou que está ruim? Essa avenida, a continuação do Ponte Verde Adulto é perimetral, né? A avenida é perimetral. De perto, o convívio é ruim ali. Muito obrigada. Boa tarde. De nada.",Exercício e saúde;Preferência pessoal,,Buracos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
64,Masculino,A informação sobre a pessoa querer uma ciclovia em alguma rua de Fortaleza não está presente no texto fornecido.,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Sim,"Sim, mas não especifica qual meio"
61,Masculino,"Existe alguma rua em Fontaleza que você gostaria que tivesse ciclovia ou ciclofata? Hoje não tem? Não, eu não conheço. Muito não, sabe? As ruas, sabe? É, tá beleza, tá beleza. Tá bom, obrigado.",Preferência pessoal,Mais de 5 anos,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,Não,Não,Não
29 anos,Masculino,"Existe alguma rua em Fortaleza que tu gostaria que tivesse uma ciclovia e que ainda não tem? ou que tá ruim e que podia melhorar? Agora, de cabeça eu não tô lembrando.",Exercício e saúde;Única opção,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
47 anos.,Masculino,"E tem alguma rua que você passa no dia-a-dia assim, que não tem escofagem. Mas que você acha que. Deveria ter? A ponte ruim é essa daqui, daqui até a Altela, que é um carro caro, a piste é todinha. Ah, assim que é pra renovar. Porque ali é onde tem a subida, aí eu tenho que sair da ponte, aí a gente fica apenas na via dela, quando não tinha via ali, viaca, a gente se passava, só tinha que passar aqui atrás.",Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Buracos na ciclovia; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Não,Não
28 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ter uma ciclovia, que ainda não tem? Não.",Praticidade e conveniência,Menos de um ano,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
39 anos,Masculino,"E existe alguma rua específica em Fortaleza que não tem ciclovia ou ciclofática? Que eu me lembre o nome da rua. Não. Eu não tenho recordação do nome da rua, mas eu sei. Que tem.",Praticidade e conveniência; Mais fácil,Mais de 5 anos,Falta de ciclovias; Sinalização inadequada,"Sim, tenho medo de acidentes",Não,Não
53 anos,Masculino,"Tem alguma rua em Fortaleza que ainda não tem ciclovia que você gostaria que tivesse? Não, que eu saiba não.",Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
63 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria de ter uma ciclovia, que ainda não tem essa estrutura aqui? Eu acho que ali na Francisco Sá tem um trânsito muito intenso lá, então acho que lá precisava de uma ciclovia lá, ali na avenida Francisco Sá.",Exercício e saúde; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
49 anos,Masculino,"E existe alguma rua em Fontaleza que não tem ciclovia ou ciclopatra que tu queria que tivesse? Naturalmente quase todo bairro tem, né? No local, ou tem via, tem. Legal. Mas poderia melhorar mais um pouco, né?",Exercício e saúde,Mais de 5 anos,Lixo na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
22 anos,Masculino,"""E tem alguma rua que tu passa no dia a dia, que não tem ciclofaxo, mas tu acha que deveria ter naquele canto e não tem? Ah, tem várias, mas eu acho que o que é mais falado assim, principalmente eu faço pesquisas nessa área de transportes, eu acabei de me formar em arquitetura e eu participo também de um grupo que faz pesquisa nessa área. E a gente fala muito da questão de fazer as ligações entre as ciclofagens, as ciclobias, porque tem espaços que não tem isso, né? A gente observa que ela vai até. Um certo ponto e ela acaba. Aqui na Cornel Carvalho, que é onde eu tô falando, quando você chega lá e você vai pra um ponto específico. E você não consegue, é... Tem a continuidade, né? Tem a continuidade, né? E aí isso acontece em vários cantos. Você vê que tem a avenida, a avenida tem aquela faixa, mas ela não tem ruas de conexão pra chegar em outros cantos do espaço. E aí esses cantos acabam sendo riscos. Eu acho que isso era uma coisa, assim, bem necessário de fazer. Primeiro criar as conexões das ciclofagens, das ciclofagens que já existem, e aí depois investir em espaços de outras ruas. Mas quanto mais ruas, melhor, né? Pra poder tanto incentivar e ter a segurança e a saúde.""",Praticidade e conveniência;Preferência pessoal,Entre 2 e 3 anos,Má qualidade das ciclovias; Buracos na ciclovia; Lixo na ciclovia; Invasão de carros ou motos na ciclovia; Sinalização inadequada,"Sim, tenho medo de acidentes",Sim,"Sim, por um carro;Sim, por uma bicicleta melhor"
41 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovía que ainda não tem? Existem várias, mas não sei o nome.",Rapidez \ Tempo;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
53 anos,Masculino,"E existe alguma rua aqui em Fortaleza que tu queria que tivesse ciclopatra, ciclovia e hoje não tem? Aí tem muitas, viu? Tem muitas? Lembra alguma de nome assim? A Rosinha Sapaio. A Rosinha? Rosinha Sapaio, essa outra aí. Rosinha Sapaio. Que ela não tem.",Custo \ É mais barato,Entre 3 e 5 anos,,"Sim, tenho medo de acidentes",Não,Não
36,Feminino,"Existe alguma rua que você gostaria que tivesse uma ciclovia? As que eu pego já tem. As que eu pego já tem. As que eu pego já tem, graças a Deus. Colocaram aqui, né? Essa aqui é a que eu utilizo bastante. O problema é o lixo. As pessoas colocam o lixo no canteiro e não fica só no canteiro. Não acaba ocupando a faixa. É por isso. Mas as que eu ando são as principais, né? Tem.",Exercício e saúde; Praticidade e conveniência; Custo \ É mais barato; Mais fácil; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,Não,Não,"Não; Sim, por uma moto"
59 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovia que não tenha isso? Olha, nós temos uma ciclopaixa, uma ciclovia, uma ciclopaixa na Bezerra, na Bezerra, mas é muito difícil aquela ali da Bezerra de Menezes, sabe? E também aqui quando desce aqui pro lado da Misterral, é muito difícil porque acontece muitos assaltos, às vezes a gente tem muito receio de andar sozinho, a gente tem que sempre estar em grupo. Então eu acho que às vezes ali é meio difícil passar ali naquele espaço. Em algum lugar, alguma rua que não tenha ainda? Você gostaria que fosse implantada? A Francisco Sá é um local que não tem, né? Apesar que é uma única faixa, né? Uma única faixa lá, pedida e volta. Mas seria interessante ter na Francisco Sá, mas pra aí eu acho que teria que ter um trabalho diferenciado, teria que botar... Eu acho que o trânsito só num sentido, talvez, fica mais difícil, né? Mas hoje o que eu me lembro é ela mesmo, a Avenida Francisco Sá, que não tem.",Exercício e saúde; Praticidade e conveniência; Mais fácil; Preferência pessoal,Mais de 5 anos,Lixo na ciclovia,"Sim, tenho medo de acidentes",Não,Não
63 anos de idade,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse ciclovisa e trocasse aí? Não tem? Ah, para a rua tem muita, né? Mas... É, porque tem rua que é estreita que não dá para dar ciclovisa, né? Em Venida que tem, ali tem... as meninas estão mortas, tem as ruas dentro das ruas aí que não dá para ficar se envolvendo, que é estranho, tá vendo?",Rapidez \ Tempo; Custo \ É mais barato; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Medo de assalto e de acidente,Sim,Não
27,Feminino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclofaixa que ainda não tem? Ou uma que está ruim e que queria que melhorasse? Assim, que eu me. Recorde agora de memória, não.",Exercício e saúde; Preferência pessoal,Entre 3 e 5 anos,Lixo na ciclovia; Medo de assaltos; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não
21 anos,Masculino,"E existe alguma rua em Fortaleza que não tem ciclopatra ou ciclovia? Que tu queria que tivesse? Caraca, lá da frente, em frente ao Valtirupit, que antigamente tinha agora tirado de lá.",Rapidez \ Tempo,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
57,Feminino,"E tem alguma rua que a senhora passa no dia-a-dia que não tem esse pôr faixa? Tem. Aqui na Coronel Cavalho mesmo, né? Ah, sim, sim.",Rapidez \ Tempo,Menos de um ano,"Má qualidade das ciclovias, Invasão de carros ou motos na ciclovia","Sim, tenho medo de acidentes",Sim,Não
66 anos,Masculino,"E existe alguma rua em Fortaleza que não tem esclovia ou esclopatia? E que eu queria que tivesse? Ah, Francisco Sá. Eu creio. Que não tem não. Francisco Sá não tem isso.",Exercício e saúde,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,Não
38 anos,Masculino,"Existe alguma rua que tu gostaria que tivesse ciclofaxe que ainda não tem? Na verdade... Na verdade, na rua, esse trajeto pra PRR é muito ruim. Na localidade do Misterral não tem ciclofaxe na localidade.",Exercício e saúde,Mais de 5 anos,Lixo na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
13,Feminino,"E tem alguma rua em Fortaleza que tu passa todo dia, assim, que não tem ciclofaxo, que tu acha que devia ter? Sim. Tem nome de alguma que tu queira indicar? É ali da... Tô achando errado. É ali no... É onde tá o Colégio José... O Mangueira, ali naquela rua do Mangueira, porque ali fica muito lotado, aí o pessoal não deixa nós passar. Aí fica muito bike, muito carro parado. Entendi. É chato é isso. Entendi.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
37 anos,Masculino,"Existe alguma rua em Fortaleza que tu gostaria que tivesse uma segunda faixa, que ainda não tem? Gostaria, lá no colégio dele, na rua... Esqueci o nome da rua. Na rua do teu colégio, que é o MF de São Filipe. É a... Hã? É a... É a Aline que continuou com ele, e a Oliveira. Esqueci o nome dela agora. Que ela é só... Ela é um pouco esclarecida, e o carro vai e volta, moto, sete horas. É o Dom Filipe, só que o nome da rua eu esqueci, é o. Colégio Colégio Dom Filipe? Dom Filipe, é a rua de lá, ela é um pouco diferente dos carros E é duas mãos, aí é um pouco ruim, porque a 7 horas é um congestionamento grande",Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,"Desrespeito dos motoristas ou Trânsito, Risco de acidentes",Não,Não,Não
18 anos,Masculino,"E tem alguma rua que você passa no dia a dia que não tem ciclofaixa, mas que você acha que deveria ter?",Exercício e saúde;Rapidez \ Tempo,Menos de um ano,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
25 anos,Masculino,"Existe alguma rua em Fortaleza que não tenha ciclovia ou ciclofaixa, que queria que tivesse hoje? Agora, nesse momento? Ali que estão reformando, né? Hoje está um carro ali, em cima do viaduto aqui do Terminal. Ali dá cruel pra gente, viu? Tá precisando de uma ciclofaixa lá. Tá, viu? Legal. Legal, valeu, mano. Obrigado.",Exercício e saúde,Menos de um ano,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
Seis,Masculino,"Tem alguma rua em Fortaleza que tu passa sempre assim, que não tem ciclofaixa, mas que tu acha que deveria ter? Depois que acaba ali do Rio Mar, ali naquela faixa do Rio Mar, nós descemos pra cá e aí acaba a ciclofaixa.",Praticidade e conveniência,Entre 1 e 2 anos,Calor ou clima,Não,Não,O conteúdo selecionado é uma pergunta e não pode ser classificado nas opções fornecidas.
33 anos,Feminino,"Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia ou uma ciclofaixa? Francisco Sá! Eu acho que aqui, por onde eu ando, a Francisco Sá é a única que não tem mais também porque ela é muito estreitinha. E eu acredito que deve ter outros lugares que eu já andei que não tem ciclovia e que às vezes a gente precisa andar na contramão da ciclovia porque a gente não consegue, às vezes, identificar pra ir pro local que é a mão certa da ciclovia. E é isso.",Praticidade e conveniência; Preferência pessoal,Entre 3 e 5 anos,Buracos na ciclovia; Má qualidade das ciclovias; Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,Não,Sim,Não
