genero,idade,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,edicao,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,ha_quanto_tempo_ciclista_agrupado,voce_tem_medo_de_sofrer_acidentes_agrupado,ja_sofreu_algum_acidente_no_ultimo_ano_agrupado,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia_agrupado,em_que_rua_gostaria_de_ver_uma_ciclovia_agrupado
Masculino,34,Praticidade e conveniência; Preferência pessoal,Não disponível,Invasão de carros ou motos na ciclovia;Risco de acidentes,,,Não consta informação na resposta,010426,,,,,,,
Masculino,37,Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,32,Exercício e saúde; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,,Preferência pessoal,Não é possível classificar,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não,010426,,,,,,,
Feminino,35,Exercício e saúde; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",,Não,010426,,,,,,,
Masculino,12,Exercício e saúde; Praticidade e conveniência,Mais de 5 anos,Falta de ciclovias e Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Não;Sim, por uma moto",010426,,,,,,,
Masculino,21,Praticidade e conveniência; Preferência pessoal,Mais de 5 anos,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,"Sim, mas não especifica qual meio",010426,,,,,,,
Masculino,23,Praticidade e conveniência; Preferência pessoal,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",Sim,Não,010426,,,,,,,
Feminino,,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",010426,,,,,,,
Masculino,47,Exercício e saúde; Rapidez \ Tempo; Custo \ É mais barato; Segurança no trânsito,Mais de 5 anos,Nenhum ou Nenhum problema enfrentado,,,Não,010426,,,,,,,
Feminino,58,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,010426,,,,,,,
Masculino,35,Exercício e saúde,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Feminino,32,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,010426,,,,,,,
Masculino,6,Rapidez \ Tempo,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,43,Exercício e saúde,Não disponível,Falta de ciclovias,Não,Não,"Sim, por uma moto ou por um carro",010426,,,,,,,
Masculino,29,Praticidade e conveniência; Mais fácil,Mais de 5 anos,Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,34,Rapidez \ Tempo; Praticidade e conveniência; Mais fácil,Mais de 5 anos,Buracos na ciclovia;Falta de ciclovias,"Sim, tenho medo de acidentes",,Não,010426,,,,,,,
Feminino,51,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",Sim,Não,010426,,,,,,,
Masculino,53,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,Não,010426,,,,,,,
Masculino,29,Rapidez \ Tempo,Entre 3 e 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,59,Preferência pessoal,Mais de 5 anos,Falta de ciclovias e Risco de acidentes,,Sim,"Sim, por uma moto",010426,,,,,,,
Masculino,46,Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito;Invasão de carros ou motos na ciclovia;Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,53,Exercício e saúde; Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por um carro",010426,,,,,,,
Masculino,42,Preferência pessoal,Mais de 5 anos,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,010426,,,,,,,
Masculino,32,Rapidez \ Tempo;Preferência pessoal,Mais de 5 anos,Falta de ciclovias e Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,22,Rapidez \ Tempo; Preferência pessoal,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,48,Custo \ É mais barato; Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",010426,,,,,,,
Masculino,68,Preferência pessoal,Mais de 5 anos,Invasão de carros ou motos na ciclovia; Risco de acidentes; Falta de ciclovias,"Sim, tenho medo de acidentes",,Não,010426,,,,,,,
Masculino,50,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,28,Exercício e saúde; Preferência pessoal,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Não;Sim, por uma moto",010426,,,,,,,
Feminino,31,Única opção,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",010426,,,,,,,
Masculino,33,Exercício e saúde,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",010426,,,,,,,
Masculino,38,Exercício e saúde; Preferência pessoal,Não informado,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,47,Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,,Não,"Sim, por uma moto",010426,,,,,,,
Masculino,40,Exercício e saúde; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,48,Exercício e saúde; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Sim,Não,010426,,,,,,,
Masculino,37,Rapidez \ Tempo; Praticidade e conveniência; Segurança no trânsito; Mais fácil,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,Não,,"Sim, por um carro",010426,,,,,,,
Masculino,46,Praticidade e conveniência; Mais fácil,Entre 1 e 2 anos,Falta de ciclovias;Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,010426,,,,,,,
Masculino,28,Exercício e saúde; Rapidez \ Tempo; Custo \ É mais barato; Preferência pessoal,Menos de um ano,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Sinalização inadequada,,Sim,"Sim, por uma moto",010426,,,,,,,
Masculino,NULL,Preferência pessoal,,Outros obstáculos na ciclovia; Risco de acidentes,,,,051224,Melhoria da fiscalização,Não,,,,,
Feminino,46,Exercício e saúde; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,,051224,Conscietização dos motoristas,,,,,,
Não informado,NULL,,,,,,,051224,,Não,,,,,
Feminino,35,Exercício e saúde;Praticidade e conveniência,,Outros obstáculos na ciclovia,,,,051224,"Melhoria da fiscalização, Melhora de qualidade das ciclovias",Não,,,,,
Feminino,30,Exercício e saúde,,Outros obstáculos na ciclovia,,,,051224,Expansão das ciclovias,,,,,,
Masculino,40,Exercício e saúde; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,051224,Expansão das ciclovias,Não,,,,,
Masculino,41,Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,,051224,,Não,,,,,
Não informado,NULL,,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,,051224,,,,,,,
Masculino,24,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,,051224,,Não,,,,,
Masculino,38,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,,051224,Expansão das ciclovias;Conscietização dos motoristas,Não,,,,,
M,49,Exercício e saúde,,Invasão de carros ou motos na ciclovia; Outros obstáculos na ciclovia,,,,051224,Melhora de qualidade das ciclovias,,,,,,
M,48,Rapidez \ Tempo;Praticidade e conveniência,,,,,,051224,Melhoria da fiscalização,Não,,,,,
M,18,Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,,051224,,Não,,,,,
F,18,Custo \ É mais barato; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,051224,Conscietização dos motoristas,,,,,,
M,28,Rapidez \ Tempo,,Má qualidade das ciclovias,,,,051224,,Não,,,,,
M,Não informado,Exercício e saúde,,Má qualidade das ciclovias,,,,051224,Expansão das ciclovias; Melhora de qualidade das ciclovias,Não,,,,,
M,54,Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,,051224,Conscientização dos motoristas; Melhoria da qualidade das ciclovias,,,,,,
F,25,Exercício e saúde;Preferência pessoal,,Outros obstáculos na ciclovia,,,,051224,Melhoria da fiscalização,Não,,,,,
M,35,Preferência pessoal,,Outros obstáculos na ciclovia,,,,051224,Conscietização dos motoristas,Não,,,,,
F,40,Exercício e saúde,,Medo de assaltos,,,,051224,Melhoria da Iluminação,,,,,,
F,10,Preferência pessoal,,,,,,051224,,Não,,,,,
M,72,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,,051224,Conscietização dos motoristas,Não,,,,,
M,63,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Sinalização inadequada,,,,051224,Conscietização dos motoristas,,,,,,
M,26,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,,051224,Expansão das ciclovias,Não,,,,,
M,40,Exercício e saúde; Praticidade e conveniência,,Outros obstáculos na ciclovia,,,,051224,Melhora de qualidade das ciclovias,Não,,,,,
M,43,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,051224,Expansão das ciclovias,,,,,,
M,28,Exercício e saúde;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,,051224,Conscietização dos motoristas,Não,,,,,
M,47,Exercício e saúde,,Falta de ciclovias,,,,051224,Melhoria da fiscalização; Segurança pública,Não,,,,,
M,42,Exercício e saúde; Praticidade e conveniência,,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,,,,051224,Melhora de qualidade das ciclovias; Limpeza das ciclovias,,,,,,
M,49,Praticidade e conveniência; Única opção,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes; Machismo e desrespeito,,,,051224,Conscietização dos motoristas,Não,,,,,
Masculino,42,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Calor ou clima,,,,051224,Expansão das ciclovias;Melhora de qualidade das ciclovias,Não,,,,,
Masculino,24,Rapidez \ Tempo; Praticidade e conveniência,,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,,,,051224,Melhora de qualidade das ciclovias,,,,,,
Masculino,63,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,051224,,Não,,,,,
Masculino,79,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,,051224,Conscietização dos motoristas; Segurança pública,Não,,,,,
Masculino,38,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,,051224,Conscietização dos motoristas,,,,,,
Masculino,38,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,051224,,Não,,,,,
Masculino,41,Rapidez \ Tempo,,Falta de ciclovias,,,,051224,Melhora de qualidade das ciclovias,Não,,,,,
Masculino,59,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,,051224,Melhora de qualidade das ciclovias,,,,,,
Masculino,29,Rapidez \ Tempo; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,,051224,Conscietização dos motoristas,Não,,,,,
Feminino,37,Exercício e saúde;Rapidez \ Tempo,,Invasão de carros ou motos na ciclovia; Sinalização inadequada,,,,051224,Conscientização dos motoristas; Melhoria da fiscalização,Não,,,,,
Masculino,60,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,,051224,,,,,,,
Masculino,48,Exercício e saúde; Rapidez \ Tempo; Preferência pessoal; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,,051224,,Não,,,,,
Feminino,NULL,Preferência pessoal,,Outros obstáculos na ciclovia,,,,051224,Melhoria da Iluminação,Não,,,,,
Masculino,55,Preferência pessoal,,,,,,051224,"Melhora de qualidade das ciclovias, Limpeza das ciclovias",,,,,,
Masculino,NULL,Exercício e saúde;Segurança no trânsito,,"Desrespeito dos motoristas ou Trânsito, Invasão de carros ou motos na ciclovia, Outros obstáculos na ciclovia",,,,051224,Melhoria da fiscalização; Segurança pública,Não,,,,,
Masculino,60,Única opção,,"Desrespeito dos motoristas ou Trânsito, Sinalização inadequada",,,,051224,Melhoria da fiscalização,"Sim, por uma bicicleta melhor",,,,,
Masculino,14,Preferência pessoal,,Risco de acidentes,,,,051224,Conscientização dos motoristas; Segurança pública,,,,,,
Masculino,36,Exercício e saúde; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,051224,Expansão das ciclovias,Não,,,,,
Masculino,14,Preferência pessoal,,Outros obstáculos na ciclovia,,,,051224,,"Sim, por uma moto",,,,,
Masculino,13,Preferência pessoal,,"Outros obstáculos na ciclovia, Machismo e desrespeito",,,,051224,,,,,,,
Masculino,50,Exercício e saúde,,Má qualidade das ciclovias; Buracos na ciclovia; Outros obstáculos na ciclovia,,,,051224,,Não,,,,,
Masculino,71,Exercício e saúde;Preferência pessoal,,"Invasão de carros ou motos na ciclovia, Desrespeito dos motoristas ou Trânsito",,,,051224,Conscietização dos motoristas,Não,,,,,
Masculino,34,Praticidade e conveniência; Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Sinalização inadequada,,,,051224,,,,,,,
Masculino,67,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,,051224,Conscietização dos motoristas,Não,,,,,
Feminino,30,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,051224,Conscientização dos motoristas;Melhoria da fiscalização,"Sim, por uma moto",,,,,
Masculine,53 anos,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,Não,071124,,,A informação não está disponível.,"Sim, tenho medo de acidentes",Não,,
Male,quase 44 anos,Mais fácil,,,,,"Sim, por uma bicicleta melhor",071124,,,Não há informações no texto sobre há quanto tempo o respondente é ciclista.,Não,Sim,,
Cannot be determined from the text.,55,Rapidez \ Tempo;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,,,Não,071124,,,A informação não está disponível no texto.,"Sim, tenho medo de acidentes",Não,,
Male,45 anos,Rapidez \ Tempo; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto",071124,,,A informação não está disponível no texto.,"Sim, tenho medo de acidentes",,,
Male,27,Exercício e saúde,,Buracos na ciclovia; Má qualidade das ciclovias,,,"Sim, mas não especifica qual meio.",071124,,,A informação não está disponível no texto.,,Não,,
Masculino,35,Exercício e saúde;Praticidade e conveniência,,Falta de ciclovias,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,"Sim, tenho medo de acidentes",,,
Male,38,Rapidez \ Tempo;Praticidade e conveniência,,Buracos na ciclovia,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Não,Não,,
Female,57,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,Não é possível classificar a resposta porque a informação de quanto tempo o respondente é ciclista não está explícita no texto.,Não,Não,,
Female,27 anos,Rapidez \ Tempo;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,"Sim, tenho medo de acidentes",Não,,
Male,46 years,Única opção,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto",071124,,,Não há informações no texto sobre há quanto tempo o respondente é ciclista.,"Sim, tenho medo de acidentes",,,
Male,47,Exercício e saúde,,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está presente no texto.,"Sim, tenho medo de acidentes",Não,,
Male,27,Custo \ É mais barato; Segurança no trânsito; Praticidade e conveniência,,Buracos na ciclovia; Falta de ciclovias; Má qualidade das ciclovias,,,"Sim, por uma moto",071124,,,A informação não está presente no texto.,"Sim, tenho medo de acidentes",Não há informações.,,
Male,19,Praticidade e conveniência; Mais fácil,,Falta de ciclovias,,,Não,071124,,,Informação não disponível.,"Sim, tenho medo de acidentes",Não,,
Male,24,,,Outros obstáculos na ciclovia; Má qualidade das ciclovias,,,,071124,,,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,"Sim, tenho medo de acidentes",Sim,,
Male,21,Mais fácil;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação não está presente no texto.,,,,
Male,29,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,Não há informações disponíveis para classificar.,Não,Não,,
Male,30,Exercício e saúde,,Buracos na ciclovia,,,"Sim, mas não especifica qual meio.",071124,,,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Não,Não,,
Male,28,Preferência pessoal,,"Desrespeito dos motoristas ou Trânsito, Risco de acidentes",,,"Sim, por uma moto",071124,,,Não há informações no texto sobre há quanto tempo o respondente é ciclista.,"Sim, tenho medo de acidentes",Não,,
Male,44,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Não,,,
Male,34 (or 38),Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia; Risco de acidentes,,,"Sim, por uma moto",071124,,,Não há informações no texto para classificar.,"Sim, tenho medo de acidentes",Não,,
Male,27,,,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia; Falta de ciclovias,,,"Sim, mas não especifica qual meio.",071124,,,"A informação sobre há quanto tempo o respondente é ciclista não está presente no texto, portanto, não pode ser classificada em nenhuma das categorias fornecidas.",,,,
Female,41,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por um carro",071124,,,Não aplicável,"Sim, tenho medo de acidentes",Não,,
Male,Quarenta,Exercício e saúde,,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,Não há informações,,Não,,
Male,48 years old,Praticidade e conveniência;Mais fácil,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está presente no texto.,,,,
Male,36,Única opção; Custo \ É mais barato,,Falta de ciclovias,,,"Sim, por uma moto",071124,,,N/A,"Sim, tenho medo de acidentes",Não,,
Male,26 anos,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,"Sim, por uma moto",071124,,,A informação não está disponível no texto.,"Sim, tenho medo de acidentes",Não,,
Male,53 anos,Exercício e saúde; Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação não está disponível no texto.,"Sim, tenho medo de acidentes",Não,,
Male,37 years old,Exercício e saúde; Praticidade e conveniência; Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito; Machismo e desrespeito,,,Não,071124,,,"Não há resposta para classificar. Por favor, forneça a resposta que deseja classificar.","Sim, tenho medo de acidentes",Não,,
Male,31 years old,Preferência pessoal,,Risco de acidentes; Buracos na ciclovia; Outros obstáculos na ciclovia,,,Não,071124,,,Não há informações no texto sobre há quanto tempo o respondente é ciclista.,"Sim, tenho medo de acidentes",Não,,
Male,21 anos,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,Não,071124,,,Não há informações para classificar.,Não,Não,,
