idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
58 anos,Masculino,"E tem alguma rua de Fortaleza que você acha que tinha que ter ciclovia, que hoje não tem? Que. Tu queria sugerir? Francisco Sá.",Preferência pessoal,Mais de 5 anos,Lixo na ciclovia,"Sim, tenho medo de acidentes",Não,Não
18 anos,Feminino,"Existe alguma rua aqui em Fortaleza que você gostaria de ter uma ciclovia ou alguma para melhorar? Ali na Tindade. Eu ando direto por lá e é muito perigoso porque não tem ciclofagem, então a gente tem que andar pelo restinho de pista que tem morrendo de medo ainda.",Exercício e saúde;Preferência pessoal,Mais de 5 anos,Buracos na ciclovia; Má qualidade das ciclovias,Não,Não,Não
30 anos,Masculino,"E existe alguma rua em Fortaleza que queria que tivesse ciclofaixa? Ou ciclo que ela não tem hoje? Agora, pra mim lembrar... Se não lembrar, tudo bem. Eu acho que pra lembrar sim, não. Agora era bom a questão de melhorar. A ciclofaixa da Leste-Oeste é horrífica. E buraco?",Exercício e saúde; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
66 anos,Masculino,"E existe algum erro que o senhor passe todo dia? Que não tenha ciclofagem, só acha que deveria ter? Por enquanto não, mas às vezes eu vou pra Bandaldelta, vou pra Certificando aí, às vezes, quando eu vou trabalhar. Aí é difícil, meu caminho mais é esse daqui mais, que eu moro aqui do outro lado. Aí meu caminho mais é esse daqui mais na leste mesmo, sabe?",Exercício e saúde,Mais de 5 anos,Outros obstáculos na ciclovia; Lixo na ciclovia,Não,Não,Não
A idade da pessoa não está mencionada no texto.,Masculino,A informação de que a pessoa gostaria de ver uma ciclovia em alguma rua de Fortaleza não está presente no texto.,Preferência pessoal,,Má qualidade das ciclovias,Não,Não,
50 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse escovia ou escofaixa? Aqui na Tembeje, o nome é Tembeje, aqui ó. Porque eles tacam os carros por cima da gente lá. É luta, viu? Não tem beijo, né? Tem beijo ali. É, tem beijo mesmo.",Exercício e saúde,Entre 3 e 5 anos,,"Sim, tenho medo de acidentes",Não,Não
34,Feminino,"E a última pergunta, tem alguma rua em Fortaleza que tu acha que tinha que ter ciclovia, que hoje não tem, pra sugerir? Não lembro. Tem alguma sugestão, ou em geral já tem? Não, tipo... É porque eu esqueci o nome dessa avenida. Mas pode falar de que caminho, por onde? É onde eu ia me acidentando, que é na... Por onde, mais ou menos? É assim, entra na esquerda, depois do dragão. Quando você desce? Ah, daqui pra lá, no viaduto. Isso, depois do viaduto. É a Dom Manuel, é? Ou não? Não, não. Entra na Dom Manuel, faz assim e entra em outra rua, que eu esqueci. Mas eu entendi a área, mais ou menos. E no seu tabozo também, não tem, né? Tabozo, que é a continuação. É, que é a continuação, não tem. Só tem na beira-mar. Não sei se eu tô exigindo. Não, é exatamente isso que a gente quer saber, os pedidos. Toda rua, com certeza.",Rapidez \ Tempo; Custo \ É mais barato,Entre 1 e 2 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia; Calor ou clima,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
A idade da pessoa não está presente no texto.,"O texto não contém informações suficientes (artigos, adjetivos, nomes ou pronomes referentes a uma pessoa) para determinar o gênero.",Essa informação não está presente no texto. O texto apenas menciona uma reclamação sobre lixo em uma ciclovia já existente (da Lexo-Lexo).,Preferência pessoal,,Lixo na ciclovia,Não,Não,Não
A idade da pessoa não está presente no texto.,Não há elementos no texto que permitam determinar o gênero da pessoa.,A informação não está presente no texto. O texto é uma reclamação sobre alagamento em uma ciclovia existente.,Preferência pessoal,,Outros obstáculos na ciclovia,Não,,Não
40 anos,Masculino,"E tem alguma rua que você passe diariamente, que não tem escovafaxe, que você acha que deveria ter? Sim, sim. Qual rua? A paisagem onde eu moro ali. Qual bairro lá? Goiabira. Nas Goiabiras, entendi.",Exercício e saúde,Menos de um ano,Outros obstáculos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
41 anos,Masculino,"E existe algum rumo em Fortaleza que tu não... Que tu queria que tivesse ciclopasta, mas eu vi aí e ela não tem. Eu acho que não, não. Eu acho que tá bom as faixas por enquanto, tá sossegado.",Exercício e saúde; Rapidez \ Tempo,Mais de 5 anos,"Lixo na ciclovia, Outros obstáculos na ciclovia","Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
37 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovia, uma ciclofaixa? Que não tem ainda. Essa é a sinalização aí? É, isso. Tipo, pronto, Nossa das Graças, ali na Nossa das Graças. porque elas são uma rua muito aberta, mas não tem.",Exercício e saúde; Preferência pessoal; Praticidade e conveniência,,Lixo na ciclovia; Buracos na ciclovia; Sinalização inadequada; Desrespeito dos motoristas ou Trânsito,Não,Não,Não
A idade da pessoa não está mencionada no texto.,Feminino,O texto não menciona se a pessoa gostaria de ver uma ciclovia em alguma rua de Fortaleza.,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Sinalização inadequada,,,Não
Quarenta e um anos,Masculino,"E existe alguma rua em Fortaleza que o senhor passe diariamente, todo dia, que não tenha escovagem e gostaria de ter?",Rapidez \ Tempo,Entre 1 e 2 anos,Outros obstáculos na ciclovia; Risco de acidentes,Não,Não,"Sim, por uma bicicleta elétrica"
50 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovia, uma ciclofaixa? Aqui só na Francisco do Sá. Aqui tem umas partes que é muito estreita. Na leste tudo bem.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
17 anos,Masculino,"E tem algum local em Fortaleza, alguma rua que você acha que deveria ter ciclovia, que hoje não tem? Pra sugerir. Eu não conheço. Não tem nenhuma que tu anda assim, que precisaria que tu ache assim. Tem o caminho normalmente. Dentro.",Mais fácil,Mais de 5 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
13 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclofagem, uma ciclovia, essas pinturinhas? Tudo bem. Tá bem. Obrigada.",Praticidade e conveniência,,,Não,Não,"Sim, por uma moto"
15 anos,Masculino,"e existe alguma rua de Fortaleza que tu queria que tivesse ciclovia e ela não tem ou ciclo fácil? por aqui perto, sempre tem, né?",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",,"Sim, por uma moto"
45 anos,Feminino,"E existe alguma rua que a Sara passa todo dia assim, que não tenha ciclofagem, a Sara acha que deveria ter? Não, porque eu só ando por aqui mesmo, né?",Exercício e saúde,Mais de 5 anos,"Lixo na ciclovia, Outros obstáculos na ciclovia",Não,Não,Não
40 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclopatra, uma ciclovia? O Cistarro. Certo. Pronto.",Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
17 anos,Masculino,"E última pergunta, tem alguma rua que não tem ciclovia hoje que tu acha que tinha que ter? Pra sugerir. Acho que é. A Avenida. Francisco Sá.",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não
15 anos,Masculino,"""Ah, saber, eu não sei. Porque eu só ando aqui na Barra. E já tem? Já. E onde anda, já tem? É.""",Mais fácil,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Não,Sim,"Sim, por uma moto"
22 anos,Masculino,"E existe alguma rua que tu passa todo dia, assim, passa muito, e que não tenha escovagem, tu acha que deveria ter? Sim, tem. Qual? É muito é pelo Meirelles, que é alguns lugares que não tem cicloflaxas, escuridamente. Sim.",Praticidade e conveniência; Custo \ É mais barato,Menos de um ano,"Buracos na ciclovia, Lixo na ciclovia, Outros obstáculos na ciclovia","Sim, tenho medo de acidentes",Sim,Não
49 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma escola fácil, uma escola via, uma estrutura tipo essa aqui? Moça, tem algumas que não tem, que precisam, né? Não sei dizer qual é, que é muitas ruas, né? Então algumas precisam, né? Logicamente, né? Certo.",Única opção;Mais fácil,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma bicicleta elétrica"
43 anos,Masculino,"Existe alguma rua que não tem ciclovídeos compactos, mas que eu queria que tivesse? Não, que eu observei ainda não.",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,Não
54,Feminino,"E existe alguma rua que a senhora passa sempre que não tem esclavagem? A senhora acha que deveria. Ter? Tem, tem várias. Tem ali na Praça do Sá, tem... Onde a gente falou dela. Hoje.",Exercício e saúde;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
28 anos,Masculino,"Eu acho que as avenidas que são por dentro da avenida principal, principalmente aqui na Lancho Oeste, né? A Camélia, a nossa da Graça, tem algumas outras mais aqui, como a Roberto Kennedy, que a gente vê que ainda não tem sinalizações, né?",Custo \ É mais barato,Mais de 5 anos,"Sinalização inadequada, Má qualidade das ciclovias","Sim, tenho medo de acidentes",Sim,Não
42 anos,Não especificado explicitamente.,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovia, uma ciclofaixa, que ainda não tem? Aqui na cabeça agora não.",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
A idade da pessoa não está disponível no texto.,Não há elementos no texto para determinar o gênero da pessoa.,"O texto não expressa o desejo de ver uma nova ciclovia, apenas reporta o mau estado de conservação da ciclovia da Sargento Hermínio próximo à rua Parencheta.",Preferência pessoal,,Má qualidade das ciclovias,,Não,Não
40,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma segunda faixa? Que ainda não tem? Até agora não. Certo. Alguma que está ruim e que queria melhorar? Não, não.",Preferência pessoal,Mais de 5 anos,Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
51 anos,Masculino,"E tem alguma rua que o senhor passa sempre que não tem escovacha, que o senhor acha que deveria ter? Francisco Sá. Francisco Sá. Eu moro na Francisco Sá, mas venho pela Alec. Entendi.",Exercício e saúde,Entre 1 e 2 anos,Lixo na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio"
45 anos,Masculino,"Tem alguma rua de Fortaleza que tu gostaria que tivesse ciclovia, que hoje não tem, pra sugerir? Puxa, a rua... Algum local que tu acha que não tem, que era bom que tivesse? Só se tu tiver lembrado mesmo pra sugerir. Se não... A 20 de janeiro. Qual é a 20 de janeiro? É a próxima, é de lá. Ah, sei pra onde é que é. Tá bom.",Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,Não
75,Masculino,"Existe alguma rua em Fortaleza que você queria que tivesse uma ciclovia, uma ciclofaixa? Não. Ainda não tem? Eu só ando mais nessa aqui. Essa daqui, Lesto Oeste. Gisela Taí. Gisela Taí, né? Aquela. E Eduardo Girão. Porque o meu serviço é lá perto da base. Lá na Polícia Civil. Tá certo.",Única opção,Mais de 5 anos,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Não,Sim,Não
34,Masculino,"Sim, eu queria ir ali pela área da Praia do Futuro ali, onde eu trabalho ali, naquela avenida... Dioguinho? Dioguinho ali. Bagagem. Tem muitos acidentes por ali. Bagagem.",Exercício e saúde,Mais de 5 anos,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,Não,Não,Não
Meia-meia,Masculino,Existe alguma rua de Fortaleza que você anda que não tem ciclofágio? Que você acha que deveria ter? Pra se esquisar.,Preferência pessoal,Mais de 5 anos,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito; Medo de assaltos,"Sim, tenho medo de acidentes",Não,"Sim, por um carro"
A idade da pessoa não está presente no texto.,"Feminino (Pelo uso de ""muito obrigada"")","Eduardo Girão, a ciclovia tá quase apagada. Os carros aí passam pneu comendo a metade, porque não vê mais faixa nem nada. Certo. E essa daqui tá viva, a reta aí tá vivinha, vê a ciclovia. Mas lá no Eduardo Girão tá ruim.",Preferência pessoal,,"Má qualidade das ciclovias, Sinalização inadequada, Invasão de carros ou motos na ciclovia","Sim, tenho medo de acidentes",,Não
64,Masculino,"Tem alguma rua que não tem ciclovia hoje que tu acha que deveria ter pra sugerir? Eu ando muito pouco aqui em Fortaleza. Eu não sei te explicar. Só preciso que saia ali. Tem uma parte que não tem, né? Então era muito bom que tivesse também, né?",Exercício e saúde,Mais de 5 anos,,"Sim, tenho medo de acidentes",,Não
65,Masculino,"E existe alguma rua que o senhor sempre passa que não tem a ciclofaixa? Que o senhor acha que deveria ter? Tem, tem, tem muito espaço. Tem alguma que você quer... uma específica, assim, que você quer com a rua? Agora, a rua mais correta, veja como eu entendo esse trabalho, mas é a leste mesmo, porque as outras ruas, as. Que não dá pra fazer... Tem espaço, né?",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Outros obstáculos na ciclovia; Machismo e desrespeito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
69 anos,Feminino,"Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia, uma ciclofagem? Não tenho tempo pra isso. Isso é muito corrida, sabe? É muito corrida. Eu não tenho tempo pra mim mesma. Sabe? Faça o movimento assim, é de muita necessidade. Mas tem algum caminho que a senhora passa que a senhora gostaria que tivesse com a faixa e que se sentiria mais segura? Sim. Qualquer ônibus dessa aqui era bom pra gente, porque nem mesmo dessa cidade que eu fico aqui, eles não respeitam a gente passar.",Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,
41,Masculino,"E existe alguma rua em Fortaleza que tu gostaria de ver uma ciclovia ou ciclofaixa e hoje não tem? Não, por enquanto não. Até agora, graças a Deus, todas as corretas têm ciclofaixa.",Custo \ É mais barato,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
63,Masculino,"Tem alguma rua que não tem ciclovia que tu acha que era bom que tivesse? Que tu esteja lembrando pra sugerir? Eu não posso dizer que eu não vi ainda. Nunca passou ainda, eu não vi ainda não, sabe? Não, era só se tivesse alguma questão. Eu ando só por aqui. Eu ando até a Vale e a Saara aqui, né? Que tem ciclovia já. É, que já tem já. Tá bom.",Mais fácil; Praticidade e conveniência; Única opção,Mais de 5 anos,,Não,Não,Não
50,Masculino,"Existe alguma rua que o senhor passe sempre, que não tenha ciclofaxe, que o senhor acha que deveria ter? Eu acho que sim.",Rapidez \ Tempo,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
31 anos,Masculino,"Existe. Alguma rua em Fortaleza que você gostaria que tivesse uma estrutura dessas? Uma ciclovia, uma ciclofaixa? Uma rua? Que ainda não tem. Que. Tu costuma passar? Não, eu tô acostumado a só essa rotina mesmo, entendeu? Tá bom, muito obrigada!",Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
24 anos,Masculino,"E última pergunta, tem algum canto que não tem ciclovia hoje que tu acha que era bom que tivesse? Alguma rua? Não tô com esse.",Custo \ É mais barato,Mais de 5 anos,,"Sim, tenho medo de acidentes",Não,Não
32 anos,Masculino,"Existe alguma ruim fortaleza que tu gostaria que tivesse e o cicloviúso compartilha? E hoje não tem. Boa pergunta, viu? É porque eu utilizo mais a avenida Castelo Branco, né? Porque eu moro aqui na Barra, aí já é um sentido direto, que geralmente eu vou pra ABM.",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
1975,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma estrutura dessa de ciclofaixa, ciclovia? Eu tenho medo, né? Porque eu ando em várias ruas, né? Mas a pior que a gente volta por aqui é das ruas aqui do centro, que é muito estreita. Principalmente essa área aqui do Graça, né? Aqui do Graça, do Caxias, né? Que é muito... A gente anda e volta e pega a costa lá adiante.",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
47,Masculino,"Existe alguma rua de Fortaleza que o senhor passa sempre, que o senhor acha que deveria ter ciclofaixa e que não tem? O senhor gostaria de indicar que tem a ciclofaixa? Tem ali a... Na Boca de Caxias, a revelação não é toda não. Acho que é da Barão do Estúdio pra lá, quando eu ir embora, não tem esse clube. Acho que seria uma boa.",Praticidade e conveniência,Mais de 5 anos,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
26 anos de idade,"Não é possível determinar o gênero da pessoa claramente com base apenas no texto, pois o nome ""Daniels"" é neutro em termos de gênero no contexto do texto e os pronomes e artigos de tratamento utilizados (tu/você) são neutros em relação ao gênero da pessoa em português.","Existe alguma rua em Fortaleza que você gostaria de ver uma segunda fase, uma ciclovia, que ainda não tem? Não. Tenho nem ideia de rua aqui.",Custo \ É mais barato,,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
49,Feminino,"Tem alguma rua de Fortaleza que não tem ciclovia hoje, que você acha que deveria ter, que você esteja lembrando, pra sugerir? Alguma que você passa ou não? Infelizmente não é Francisco Samar, é tão estreitinho, né? Tá, mas aí é pra deixar no vídeo.",Praticidade e conveniência;Mais fácil,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio"
67 anos,Masculino,"E tem alguma rua aqui em Fortaleza que não tem ciclofaxo e ciclovia, mas que você queria que tivesse? Se não lembrar, tudo bem. Não, não, não. Não sei não. Por enquanto, não. Por enquanto, não.",Exercício e saúde,Mais de 5 anos,Outros obstáculos na ciclovia,Não,Não,Não
57 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovia, uma ciclofaixa? Que. Ainda não tem? Não. Só tem lá do... até lá no... em frente ao cometa ali. Do cometa pra lá, até na... Até naquela avenida, no cemitério ali.",Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio"
"A idade não está explicitamente mencionada no texto. O entrevistado diz que usa a bicicleta há ""Uns 35 anos por aí.""",Masculino,Existe alguma rua em Fortaleza que não tenha ainda ciclovia e ciclofaixa que você gostaria que tivesse? Não conheço.,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
24 anos,Feminino,"Existe alguma rua aqui em Fortaleza que você queria que tivesse uma infraestrutura assim, é ciclofácil, é ciclofísico? Não, não, é para escução.",Praticidade e conveniência; Custo \ É mais barato; Rapidez \ Tempo; Única opção,Entre 1 e 2 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
40 anos,Feminino,Existe alguma rua em Fortaleza que não tem ciclovia e ciclofaxe que você gostaria que tivesse? Ou alguma que tá muito ruim e que queria que melhorasse? Não. Até onde eu ando tá. Tá bem.,Praticidade e conveniência,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por um carro"
26 anos,Lindri Neys,"E uma última pergunta, tem alguma rua em Fortaleza que hoje não tem ciclovia que você acha que era bom que tivesse? Que você esteja lembrando, alguma que você costuma andar, se você tiver alguma sugestão ou não? Ai, eu. Não... Que esteja lembrando? É, que lembrar... Não, que eu não decoro muito nome de rua. Mas tem alguma que tu lembre? Só se tivesse não, tudo bem. Não, tem não. Tá bom. Obrigado, tá?",Mais fácil; Rapidez \ Tempo; Exercício e saúde,Menos de um ano,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Medo de assaltos,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
42 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma escopagem, uma escopia? você. Sabe que ela é estreitinha, ela não tem, mas pra frente quem sabe né?",Exercício e saúde; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
29,Feminino,"E existe alguma rua aqui em Fortaleza que tu gostaria que tivesse pluvias no pátio e ela não tem? Se não lembrar, não tem também. Que cabe lembrar ruas específicas. Os Horas de Paiva precisa ter, João Pessoa é urgente também. Cara, Avenidas do Centro, aquela... Tem uma no centro muito importante, a Francisco Sá. Francisco Sá, é urgente também ter bicicleta, porque a gente que mora mais pro outro lado de lá precisa dar uma volta, vir pra leste, então às vezes você pega uma contramão pra conseguir pegar uma ciclovia. E nem sempre você tem tempo e disposição pra pegar a contramão, então você acaba se arriscando por não ter ciclofaixa. E as avenidas, elas são muito fundamentais pra gente acessar outros pontos da cidade, então precisa ter ciclofaixa nessas avenidas.",Rapidez \ Tempo; Praticidade e conveniência; Custo \ É mais barato,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia; Lixo na ciclovia; Falta de ciclovias; Má qualidade das ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
30 anos,Masculino,"Existe alguma rua. De Fortaleza que tu passe sempre que não tem ciclofaixa e que tu acha que deveria ter? Eu gostaria, mas... Eu acho que pela... Pelo projeto que eu faço, ainda bem que tem. Né? Mas acho que talvez. Pela graça aranha. Que trouxe...",Exercício e saúde; Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por um carro"
A idade da pessoa não é mencionada no texto.,Masculino,"Existe. Alguma rua em Fortaleza que você gostaria que tivesse ciclovia, ciclofaixa, que ainda não tem? Mas... Eu nem sei, porque todas as que eu tô andando agora, tá tendo, né? Ah, que ótimo. Tá entendendo? Lá no meu bairro já tem, né? Na avenida ali. Pois tá bem, muito obrigada. De nada, viu?",Exercício e saúde;Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
62 anos,Masculino,"Não, todas as ruas que eu já andei tem ciclovia, tô achando muito bom o serviço da prefeitura.",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não
