idade,genero,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia_agrupado,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
Não especificado,Masculino,"Rua Porto Velho, Rio de Jorge",Porto Velho/Rio de Jorge,Exercício e saúde;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia; Outros obstáculos na ciclovia,,"Sim, por um carro"
50,Masculino,Bairro Demócrito Rocha,Demócrito Rocha,Exercício e saúde;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito,Melhoria da fiscalização;Segurança pública,Não
46,Masculino,Não especificado,NA,Exercício e saúde;Custo \ É mais barato,,,Não
47,Feminino,Carneiro de Mendonça até Zé Basta,Carneiro de Mendonça/Zé Basta,Exercício e saúde;Custo \ É mais barato,Falta de ciclovias,Melhora de qualidade das ciclovias,"Sim, por uma bicicleta melhor"
20,Masculino,Rua Rocha Lima e vizinhas na Aldeota,Rocha Lima/vizinhas na Aldeota,Exercício e saúde;Custo \ É mais barato,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas;Melhoria da fiscalização,"Sim, por um carro"
Não especificado,Masculino,Não especificado,NA,Exercício e saúde;Custo \ É mais barato,,,Não
42,Feminino,Rua Ceará,Ceará,Exercício e saúde;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia,Melhora de qualidade das ciclovias,Não
54,Masculino,Não especificado,NA,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,Desrespeito dos motoristas ou Trânsito; Sinalização inadequada,Melhora de qualidade das ciclovias,Não
55,Masculino,"São Zé Barco, Feira do Paraguai",São Zé Barco/Feira do Paraguai,Custo \ É mais barato;Exercício e saúde,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,Não
38,Masculino,Não sabe,NA,Exercício e saúde;Custo \ É mais barato,Buracos na ciclovia,Melhora de qualidade das ciclovias,Não
36,Masculino,Barão de Estúdio,Barão de Estúdio,Praticidade e conveniência;Preferência pessoal,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,"Sim, por uma moto"
19,Masculino,"Henrique Jorge, Fernandes Tavros",Henrique Jorge/Fernandes Tavros,Exercício e saúde;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias,"Sim, por uma moto"
41,Masculino,Terminal para João XXIII,Terminal/João XXIII,Custo \ É mais barato;Exercício e saúde,Outros obstáculos na ciclovia,Melhora de qualidade das ciclovias,Não
42,Masculino,João Pessoa e Osório,João Pessoa/Osório,Rapidez \ Tempo,Falta de ciclovias,,Não
24,Masculino,Rua não especificada,NA,Exercício e saúde;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito,,"Sim, por uma moto"
45,Feminino,Rua perto do trabalho,Perto do trabalho,Exercício e saúde;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,Expansão das ciclovias,Não
45,Masculino,Não especifica,NA,Rapidez \ Tempo;Praticidade e conveniência,Desrespeito dos motoristas ou Trânsito,,Não
20,Feminino,Maracanã,Maracanã,Praticidade e conveniência;Mais fácil;Preferência pessoal,Desrespeito dos motoristas ou Trânsito,,"Sim, no futuro"
39,Masculino,Após a Lagoa,Após a Lagoa,Exercício e saúde;Custo \ É mais barato,Calor ou clima,,Não
45,Masculino,Nenhuma específica,NA,Exercício e saúde;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito,Melhora de qualidade das ciclovias;Limpeza das ciclovias,Não
32,Feminino,Perto do Hospital da Mulher,Perto do Hospital da Mulher,Praticidade e conveniência;Única opção,Buracos na ciclovia,Melhora de qualidade das ciclovias;Limpeza das ciclovias,"Sim, por uma bicicleta elétrica"
36,Masculino,Mais ciclofaixas em bairros,Mais ciclofaixas em bairros,Praticidade e conveniência;Custo \ É mais barato;Mais fácil,Desrespeito dos motoristas ou Trânsito,,Não
68,Feminino,Na frente da casa,Na frente da casa,Exercício e saúde;Custo \ É mais barato,Buracos na ciclovia; Lixo na ciclovia,,Não
32,Masculino,Bernardo Manuel e Bom Jesus,Bernardo Manuel/Bom Jesus,Rapidez \ Tempo;Mais fácil,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias;Melhoria da fiscalização,Não
Não informado,Masculino,Avenida em frente ao shopping Parangaba,Av em frente ao shopping Parangaba,Exercício e saúde,Buracos na ciclovia; Lixo na ciclovia,Expansão das ciclovias,Não
11,Masculino,Perto da lagoa,Perto da lagoa,Preferência pessoal,Risco de acidentes; Medo de assaltos,,"Sim, por uma moto"
29,Masculino,Augusto dos Anjos,Augusto dos Anjos,Exercício e saúde;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito,,Não
